environment,policy,gain,bias
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0.7324675324675323,15.820475628267838
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1.9792207792207788,6.267431270028677
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",0.8367952522255193,15.598323486162597
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",1.1216617210682474,12.911111306782672
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",0.7938461538461538,15.87076923076923
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",2.3446153846153828,4.526863905325451
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1.0180505415162453,15.316321078079998
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1.3646209386281567,12.033285980528888
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",0.9735849056603771,15.621075115699536
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1.4264150943396199,11.733570665717354
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1.0197628458498023,15.495414707306784
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1.114624505928852,14.557671577434435
env-b3,"(np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1.0079999999999998,15.58
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",3.047999999999999,2.139999999999999
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",1.396039603960396,15.023184001568474
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",1.8712871287128692,10.658317811979227
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1.357894736842105,15.350138504155124
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1.9894736842105243,10.093905817174527
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",1.4494382022471908,15.080040398939527
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",1.5842696629213462,13.767895467743983
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1.4399999999999997,15.168571428571429
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",2.1599999999999984,9.417142857142865
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1.5828220858895705,14.780985358876887
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1.7300613496932487,13.341563476231713
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",1.5749999999999997,14.863867187500002
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1.7624999999999977,13.208593750000013
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1.605095541401274,14.759969978498114
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1.6433121019108263,14.379569150878343
env-b3,"(np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1.6032,14.780800000000001
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",3.676800000000001,-9.460800000000008
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",0.8729792147806004,8.034727370672412
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",1.759815242494225,0.516078276592232
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0.7324675324675323,8.820475628267836
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1.9792207792207788,-0.7325687299713248
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",0.8367952522255193,8.598323486162597
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",1.1216617210682474,5.911111306782674
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",0.7938461538461538,8.87076923076923
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",2.3446153846153828,-2.4731360946745493
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1.0180505415162453,8.316321078079994
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1.3646209386281567,5.033285980528886
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",0.9735849056603771,8.621075115699536
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1.4264150943396199,4.7335706657173535
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1.0197628458498023,8.495414707306784
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1.114624505928852,7.557671577434434
env-b3,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1.0079999999999998,8.58
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0))",3.047999999999999,-4.859999999999999
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1))",1.396039603960396,8.023184001568474
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0))",1.8712871287128692,3.65831781197923
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1.357894736842105,8.350138504155124
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1.9894736842105243,3.093905817174524
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1))",1.4494382022471908,8.080040398939527
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0))",1.5842696629213462,6.767895467743984
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1.4399999999999997,8.168571428571429
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0))",2.1599999999999984,2.4171428571428653
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1))",1.5828220858895705,7.780985358876888
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1.7300613496932487,6.3415634762317135
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1))",1.5749999999999997,7.8638671874999995
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1.7624999999999977,6.208593750000014
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1.605095541401274,7.759969978498113
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1.6433121019108263,7.379569150878343
env-b3,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1.6032,7.780799999999999

