theta0,theta1,value
-9.5,-9.0,327.8708529688032
-9.0,-9.0,327.87085296879854
-8.5,-9.0,327.8708529687893
-8.0,-9.0,327.8708529687603
-7.5,-9.0,327.8708529686816
-7.0,-9.0,327.87085296846095
-6.5,-9.0,327.8708529678398
-6.0,-9.0,327.870852966038
-5.5,-9.0,327.87085296064026
-5.0,-9.0,327.8708529437346
-4.5,-9.0,327.8708528877653
-4.0,-9.0,327.87085269072116
-3.5,-9.0,327.87085195373527
-3.0,-9.0,327.87084904699213
-2.5,-9.0,327.8708370899121
-2.0,-9.0,327.87078635927867
-1.5,-9.0,327.8705663879586
-1.0,-9.0,327.8695978294192
-0.5,-9.0,327.8652834785279
0.0,-9.0,327.845870011196
0.5,-9.0,327.7575892082283
1.0,-9.0,327.3514514103623
1.5,-9.0,325.4688747983097
2.0,-9.0,317.08216924951046
2.5,-9.0,290.0973588644085
3.0,-9.0,253.4168597858685
3.5,-9.0,234.35998906826842
4.0,-9.0,230.30045005338943
4.5,-9.0,232.16346994219853
5.0,-9.0,235.68011447883703
5.5,-9.0,238.46886166738213
6.0,-9.0,239.9480971662416
6.5,-9.0,240.58335331154979
7.0,-9.0,240.83168330444568
7.5,-9.0,240.92517430437834
8.0,-9.0,240.95986941981423
8.5,-9.0,240.97267552610575
9.0,-9.0,240.97739268920895
9.5,-9.0,240.9791289228653
10.0,-9.0,240.97976778211577
-10.0,-8.5,327.8721036077087
-9.5,-8.5,327.87210360770626
-9.0,-8.5,327.8721036076997
-8.5,-8.5,327.8721036076835
-8.0,-8.5,327.87210360763635
-7.5,-8.5,327.872103607506
-7.0,-8.5,327.87210360714414
-6.5,-8.5,327.8721036061177
-6.0,-8.5,327.87210360314646
-5.5,-8.5,327.8721035942484
-5.0,-8.5,327.8721035663761
-4.5,-8.5,327.8721034740981
-4.0,-8.5,327.8721031492294
-3.5,-8.5,327.87210193414757
-3.0,-8.5,327.8720971417545
-2.5,-8.5,327.8720774279286
-2.0,-8.5,327.87199378757384
-1.5,-8.5,327.8716311181562
-1.0,-8.5,327.8700342551987
-0.5,-8.5,327.8629214043108
0.0,-8.5,327.8309197316213
0.5,-8.5,327.6854794499934
1.0,-8.5,327.0180206783427
1.5,-8.5,323.9576850770165
2.0,-8.5,311.06591995192895
2.5,-8.5,277.56150617667424
3.0,-8.5,244.80963011431024
3.5,-8.5,232.16645041491444
4.0,-8.5,231.04181715364405
4.5,-8.5,233.9458337981975
5.0,-8.5,237.2537069719783
5.5,-8.5,239.35385298456833
6.0,-8.5,240.33882561467036
6.5,-8.5,240.7385635380643
7.0,-8.5,240.89129059277798
7.5,-8.5,240.9482890397616
8.0,-8.5,240.96937275639365
8.5,-8.5,240.97714547933012
9.0,-8.5,240.98000731292368
9.5,-8.5,240.98106048847848
10.0,-8.5,240.98144798847983
-10.0,-8.0,327.87416512557576
-9.5,-8.0,327.87416512557166
-9.0,-8.0,327.87416512556194
-8.5,-8.0,327.87416512553347
-8.0,-8.0,327.87416512545525
-7.5,-8.0,327.87416512524203
-7.0,-8.0,327.8741651246441
-6.5,-8.0,327.8741651229537
-6.0,-8.0,327.87416511805435
-5.5,-8.0,327.8741651033829
-5.0,-8.0,327.8741650574291
-4.5,-8.0,327.8741649052904
-4.0,-8.0,327.87416436967504
-3.5,-8.0,327.8741623663548
-3.0,-8.0,327.8741544650785
-2.5,-8.0,327.874121962657
-2.0,-8.0,327.87398406388934
-1.5,-8.0,327.87338612848356
-1.0,-8.0,327.8707534012048
-0.5,-8.0,327.85902713849043
0.0,-8.0,327.8062808533739
0.5,-8.0,327.56678936108085
1.0,-8.0,326.4721479952701
1.5,-8.0,321.5429553476706
2.0,-8.0,302.56376772897784
2.5,-8.0,264.9856554842193
3.0,-8.0,238.74198868181315
3.5,-8.0,231.38180857970542
4.0,-8.0,232.3910693439335
4.5,-8.0,235.72787731499187
5.0,-8.0,238.4816373150023
5.5,-8.0,239.95398666167804
6.0,-8.0,240.5878132696771
6.5,-8.0,240.8358338716583
7.0,-8.0,240.9292564298676
7.5,-8.0,240.96393623287744
8.0,-8.0,240.97673888542226
8.5,-8.0,240.98145526240225
9.0,-8.0,240.98319131479752
9.5,-8.0,240.98383013143695
10.0,-8.0,240.98406516578757
