theta0,theta1,v_gamma
10.0,-7.5,1579.9351688967724
-10.0,-7.0,2269.5606147073026
-9.5,-7.0,2269.560614707252
-9.0,-7.0,2269.5606147070944
-8.5,-7.0,2269.5606147066137
-8.0,-7.0,2269.560614705329
-7.5,-7.0,2269.5606147017957
-7.0,-7.0,2269.5606146918553
-6.5,-7.0,2269.560614663409
-6.0,-7.0,2269.5606145797333
-5.5,-7.0,2269.560614323469
-5.0,-7.0,2269.5606134976683
-4.5,-7.0,2269.5606106744267
-4.0,-7.0,2269.560600406226
-3.5,-7.0,2269.560560862307
-3.0,-7.0,2269.560401186582
-2.5,-7.0,2269.5597328776958
-2.0,-7.0,2269.5568634352694
-1.5,-7.0,2269.5443239933134
-1.0,-7.0,2269.4888430134056
-0.5,-7.0,2269.2410502958533
0.0,-7.0,2268.125697157552
0.5,-7.0,2263.0789243757795
1.0,-7.0,2240.4106763834725
1.5,-7.0,2145.9630032777545
2.0,-7.0,1886.1267989755142
2.5,-7.0,1627.4775701060437
3.0,-7.0,1534.049202014222
3.5,-7.0,1527.8994399961014
4.0,-7.0,1546.6227317851742
4.5,-7.0,1563.861006352155
5.0,-7.0,1573.288103228899
5.5,-7.0,1577.3765148184643
6.0,-7.0,1578.9812891325196
6.5,-7.0,1579.5866686593697
7.0,-7.0,1579.8115732798767
7.5,-7.0,1579.8946379558718
8.0,-7.0,1579.925246175598
8.5,-7.0,1579.9365145000074
9.0,-7.0,1579.9406612968678
9.5,-7.0,1579.942187076958
10.0,-7.0,1579.9427484302305
-10.0,-6.5,2269.5703576033566
-9.5,-6.5,2269.5703576032424
-9.0,-6.5,2269.5703576029605
-8.5,-6.5,2269.570357602167
-8.0,-6.5,2269.5703576001315
-7.5,-6.5,2269.5703575942634
-7.0,-6.5,2269.5703575779303
-6.5,-6.5,2269.5703575310145
-6.0,-6.5,2269.57035739303
-5.5,-6.5,2269.570356970445
-5.0,-6.5,2269.5703556090075
-4.5,-6.5,2269.5703509543196
-4.0,-6.5,2269.570334024981
-3.5,-6.5,2269.570268828345
-3.0,-6.5,2269.5700055685243
-2.5,-6.5,2269.5689037183047
-2.0,-6.5,2269.5641728411088
-1.5,-6.5,2269.5434991838674
-1.0,-6.5,2269.4520329725888
-0.5,-6.5,2269.043614389421
0.0,-6.5,2267.2070939029954
0.5,-6.5,2258.932424293827
1.0,-6.5,2222.423081762222
1.5,-6.5,2081.859898830718
2.0,-6.5,1786.2254488808412
2.5,-6.5,1582.0248288306436
3.0,-6.5,1529.5067242257912
3.5,-6.5,1537.2724402182919
4.0,-6.5,1556.3647346762507
4.5,-6.5,1569.511696084302
5.0,-6.5,1575.807617777525
5.5,-6.5,1578.382412576783
6.0,-6.5,1579.3696245085052
6.5,-6.5,1579.7387346911898
7.0,-6.5,1579.8754096272617
7.5,-6.5,1579.9258265608444
8.0,-6.5,1579.9443961756879
8.5,-6.5,1579.9512313935827
9.0,-6.5,1579.9537466332583
9.5,-6.5,1579.9546720745022
10.0,-6.5,1579.9550125529177
-10.0,-6.0,2269.586395816366
-9.5,-6.0,2269.5863958162154
-9.0,-6.0,2269.5863958157192
-8.5,-6.0,2269.5863958145064
-8.0,-6.0,2269.5863958109962
-7.5,-6.0,2269.5863958014097
-7.0,-6.0,2269.586395774432
-6.5,-6.0,2269.5863956971257
-6.0,-6.0,2269.58639546962
-5.5,-6.0,2269.586394772966
-5.0,-6.0,2269.5863925282865
-4.5,-6.0,2269.586384853999
-4.0,-6.0,2269.5863569424123
-3.5,-6.0,2269.5862494520097
-3.0,-6.0,2269.585815412644
-2.5,-6.0,2269.5839987819545
-2.0,-6.0,2269.576198975068
-1.5,-6.0,2269.542114929681
-1.0,-6.0,2269.391330199374
-0.5,-6.0,2268.71829469149
0.0,-6.0,2265.6968527805834
0.5,-6.0,2252.1780627710027
1.0,-6.0,2194.244615985621
1.5,-6.0,1997.2391693762459
2.0,-6.0,1698.9319275474534
2.5,-6.0,1554.842467632224
3.0,-6.0,1532.4586789066948
3.5,-6.0,1547.5540950804884
4.0,-6.0,1564.0734779907286
4.5,-6.0,1573.3580771773468
5.0,-6.0,1577.4168519733553
5.5,-6.0,1579.0152194495245
6.0,-6.0,1579.6191862058872
6.5,-6.0,1579.8437764470373
7.0,-6.0,1579.9267708229602
7.5,-6.0,1579.957363259491
8.0,-6.0,1579.9686280227638
8.5,-6.0,1579.9727740101582
9.0,-6.0,1579.974299604157
9.5,-6.0,1579.9748609138996
10.0,-6.0,1579.9750674238974
-10.0,-5.5,2269.612770327494
-9.5,-5.5,2269.612770327222
-9.0,-5.5,2269.6127703264624
-8.5,-5.5,2269.612770324379
-8.0,-5.5,2269.612770318666
-7.5,-5.5,2269.6127703028073
-7.0,-5.5,2269.6127702582926
-6.5,-5.5,2269.612770130908
-6.0,-5.5,2269.6127697558513
-5.5,-5.5,2269.612768607184
-5.0,-5.5,2269.612764906384
-4.5,-5.5,2269.612752253775
-4.0,-5.5,2269.612706235765
-3.5,-5.5,2269.6125290157584
-3.0,-5.5,2269.6118134131452
-2.5,-5.5,2269.608818331321
-2.0,-5.5,2269.5959588709343
-1.5,-5.5,2269.53976664121
-1.0,-5.5,2269.2912123601805
-0.5,-5.5,2268.1824684007493
0.0,-5.5,2263.2184591907294
0.5,-5.5,2241.260425237308
1.0,-5.5,2151.502600413634
1.5,-5.5,1897.6559880403831
2.0,-5.5,1632.2789323470922
2.5,-5.5,1542.16451528851
3.0,-5.5,1539.9265285743247
3.5,-5.5,1556.9328393717678
4.0,-5.5,1569.6702102376667
4.5,-5.5,1575.883067605836
5.0,-5.5,1578.4402066935256
5.5,-5.5,1579.4235563450036
6.0,-5.5,1579.791809939625
6.5,-5.5,1579.9282935918445
7.0,-5.5,1579.9786676047959
7.5,-5.5,1579.9972275381315
8.0,-5.5,1580.0040605557422
8.5,-5.5,1580.0065752895707
9.0,-5.5,1580.0075006124616
9.5,-5.5,1580.0078410624444
10.0,-5.5,1580.007966316133
-10.0,-5.0,2269.6560705768024
-9.5,-5.0,2269.656070576332
-9.0,-5.0,2269.656070575065
-8.5,-5.0,2269.6560705716984
