theta0,theta1,v_gamma
2.5,-9.5,-9.417253900595037
3.0,-9.5,-8.879341422643888
3.5,-9.5,-7.7530747710435675
4.0,-9.5,-6.007367531952914
4.5,-9.5,-4.253531928487552
5.0,-9.5,-3.1131741738025345
5.5,-9.5,-2.566204158815803
6.0,-9.5,-2.343123672640183
6.5,-9.5,-2.260043460940182
7.0,-9.5,-2.2330815985053034
7.5,-9.5,-2.2294027457946
8.0,-9.5,-2.237240535924798
8.5,-9.5,-2.2526355407505014
9.0,-9.5,-2.2737937068407614
9.5,-9.5,-2.2986279389696036
10.0,-9.5,-2.32416528731596
-10.0,-9.0,-9.768653793312016
-9.5,-9.0,-9.76865380688862
-9.0,-9.0,-9.768653829256937
-8.5,-9.0,-9.768653866093333
-8.0,-9.0,-9.76865392671017
-7.5,-9.0,-9.768654026334781
-7.0,-9.0,-9.768654189729974
-6.5,-9.0,-9.768654456790703
-6.0,-9.0,-9.768654890759322
-5.5,-9.0,-9.768655589018493
-5.0,-9.0,-9.768656693405982
-4.5,-9.0,-9.76865838688903
-4.0,-9.0,-9.768660832812976
-3.5,-9.0,-9.768663924504759
-3.0,-9.0,-9.768666464058258
-2.5,-9.0,-9.76866369829697
-2.0,-9.0,-9.768640238855891
-1.5,-9.0,-9.768550188238097
-1.0,-9.0,-9.768262088744748
-0.5,-9.0,-9.767407649977159
0.0,-9.0,-9.764968374647273
0.5,-9.0,-9.758152159133228
1.0,-9.0,-9.739368644664369
1.5,-9.0,-9.688264662709635
2.0,-9.0,-9.551979202839817
2.5,-9.0,-9.204229261940064
3.0,-9.0,-8.404858091738088
3.5,-9.0,-6.934705778238259
4.0,-9.0,-5.080006058212952
4.5,-9.0,-3.596081162617717
5.0,-9.0,-2.7839270852891573
5.5,-9.0,-2.430064572585194
6.0,-9.0,-2.2931155845077793
6.5,-9.0,-2.2454504435117855
7.0,-9.0,-2.2340131809098795
7.5,-9.0,-2.2389685560318386
8.0,-9.0,-2.2532968988974353
8.5,-9.0,-2.2740636807835655
9.0,-9.0,-2.2987584739152367
9.5,-9.0,-2.3242504012990706
10.0,-9.0,-2.3474134025992375
-10.0,-8.5,-9.76626259044048
-9.5,-8.5,-9.766262612827882
-9.0,-8.5,-9.766262649712568
-8.5,-8.5,-9.766262710454749
-8.0,-8.5,-9.76626281041034
-7.5,-8.5,-9.766262974689093
-7.0,-8.5,-9.766263244125108
-6.5,-8.5,-9.766263684506653
-6.0,-8.5,-9.766264400125866
-5.5,-8.5,-9.76626555158396
-5.0,-8.5,-9.766267372822162
-4.5,-8.5,-9.766270165697666
-4.0,-8.5,-9.766274199969345
-3.5,-8.5,-9.76627930084311
-3.0,-8.5,-9.76628349601409
-2.5,-8.5,-9.76627895581377
-2.0,-8.5,-9.76624032766255
-1.5,-8.5,-9.766091990386538
-1.0,-8.5,-9.765617358186375
-0.5,-8.5,-9.764209748300027
0.0,-8.5,-9.760192278848693
0.5,-8.5,-9.748974828611901
1.0,-8.5,-9.718130726830621
1.5,-8.5,-9.634715121829144
2.0,-8.5,-9.41577754201023
2.5,-8.5,-8.879267570085327
3.0,-8.5,-7.7546094237396295
3.5,-8.5,-6.009897682349172
4.0,-8.5,-4.256131222478525
4.5,-8.5,-3.1156930543304653
5.0,-8.5,-2.569088386234879
5.5,-8.5,-2.3470192891305675
6.0,-8.5,-2.2657560400655647
6.5,-8.5,-2.2416022482370184
7.0,-8.5,-2.2418157933608764
7.5,-8.5,-2.2543870137200392
8.0,-8.5,-2.2745087424715402
8.5,-8.5,-2.2989736773168534
9.0,-8.5,-2.3243907242475372
9.5,-8.5,-2.347535405580709
10.0,-8.5,-2.3663461871435447
-10.0,-8.0,-9.762323553381323
-9.5,-8.0,-9.762323590301051
-9.0,-8.0,-9.762323651128728
-8.5,-8.0,-9.762323751300666
-8.0,-8.0,-9.762323916141083
-7.5,-8.0,-9.76232418706022
