theta0,theta1,bias
2.0,-9.5,-10.93291
2.5,-9.5,-10.64481
3.0,-9.5,-9.94871
3.5,-9.5,-8.53009
4.0,-9.5,-6.42963
4.5,-9.5,-4.43141
5.0,-9.5,-3.18822
5.5,-9.5,-2.60681
6.0,-9.5,-2.37237
6.5,-9.5,-2.28545
7.0,-9.5,-2.25729
7.5,-9.5,-2.25345
8.0,-9.5,-2.26163
8.5,-9.5,-2.27771
9.0,-9.5,-2.29982
9.5,-9.5,-2.32579
10.0,-9.5,-2.35252
-10.0,-9.0,-11.10624
-9.5,-9.0,-11.10624
-9.0,-9.0,-11.10624
-8.5,-9.0,-11.10624
-8.0,-9.0,-11.10624
-7.5,-9.0,-11.10624
-7.0,-9.0,-11.10624
-6.5,-9.0,-11.10624
-6.0,-9.0,-11.10624
-5.5,-9.0,-11.10624
-5.0,-9.0,-11.10624
-4.5,-9.0,-11.10624
-4.0,-9.0,-11.10625
-3.5,-9.0,-11.10625
-3.0,-9.0,-11.10626
-2.5,-9.0,-11.10625
-2.0,-9.0,-11.10622
-1.5,-9.0,-11.1061
-1.0,-9.0,-11.10572
-0.5,-9.0,-11.10459
0.0,-9.0,-11.10137
0.5,-9.0,-11.09237
1.0,-9.0,-11.06758
1.5,-9.0,-11.0002
2.0,-9.0,-10.82109
2.5,-9.0,-10.36767
3.0,-9.0,-9.34475
3.5,-9.0,-7.53098
4.0,-9.0,-5.35964
4.5,-9.0,-3.70948
5.0,-9.0,-2.83711
5.5,-9.0,-2.46355
6.0,-9.0,-2.32003
6.5,-9.0,-2.27021
7.0,-9.0,-2.25826
7.5,-9.0,-2.26344
8.0,-9.0,-2.2784
8.5,-9.0,-2.30011
9.0,-9.0,-2.32593
9.5,-9.0,-2.35261
10.0,-9.0,-2.37686
-10.0,-8.5,-11.10308
-9.5,-8.5,-11.10308
-9.0,-8.5,-11.10308
-8.5,-8.5,-11.10308
-8.0,-8.5,-11.10308
-7.5,-8.5,-11.10308
-7.0,-8.5,-11.10308
-6.5,-8.5,-11.10308
-6.0,-8.5,-11.10308
-5.5,-8.5,-11.10308
-5.0,-8.5,-11.10309
-4.5,-8.5,-11.10309
-4.0,-8.5,-11.1031
-3.5,-8.5,-11.1031
-3.0,-8.5,-11.10311
-2.5,-8.5,-11.1031
-2.0,-8.5,-11.10305
-1.5,-8.5,-11.10286
-1.0,-8.5,-11.10223
-0.5,-8.5,-11.10037
0.0,-8.5,-11.09506
0.5,-8.5,-11.08026
1.0,-8.5,-11.03957
1.5,-8.5,-10.92973
2.0,-8.5,-10.64288
2.5,-8.5,-9.94861
3.0,-8.5,-8.53198
3.5,-8.5,-6.43259
4.0,-8.5,-4.4343
4.5,-8.5,-3.19092
5.0,-8.5,-2.60985
5.5,-8.5,-2.37645
6.0,-8.5,-2.29142
6.5,-8.5,-2.26619
7.0,-8.5,-2.26641
7.5,-8.5,-2.27954
8.0,-8.5,-2.30057
8.5,-8.5,-2.32615
9.0,-8.5,-2.35275
9.5,-8.5,-2.37699
10.0,-8.5,-2.3967
-10.0,-8.0,-11.09788
-9.5,-8.0,-11.09788
-9.0,-8.0,-11.09788
-8.5,-8.0,-11.09788
-8.0,-8.0,-11.09788
-7.5,-8.0,-11.09788
-7.0,-8.0,-11.09788
-6.5,-8.0,-11.09788
-6.0,-8.0,-11.09788
-5.5,-8.0,-11.09789
-5.0,-8.0,-11.09789
-4.5,-8.0,-11.0979
-4.0,-8.0,-11.0979
-3.5,-8.0,-11.09791
-3.0,-8.0,-11.09792
-2.5,-8.0,-11.09791
-2.0,-8.0,-11.09783
-1.5,-8.0,-11.09751
-1.0,-8.0,-11.09648
-0.5,-8.0,-11.09342
0.0,-8.0,-11.08469
0.5,-8.0,-11.06035
1.0,-8.0,-10.99376
1.5,-8.0,-10.81598
2.0,-8.0,-10.36471
2.5,-8.0,-9.34472
3.0,-8.0,-7.53357
3.5,-8.0,-5.36318
4.0,-8.0,-3.71289
4.5,-8.0,-2.84063
5.0,-8.0,-2.46793
5.5,-8.0,-2.32618
6.0,-8.0,-2.27922
6.5,-8.0,-2.27131
7.0,-8.0,-2.28142
7.5,-8.0,-2.30134
8.0,-8.0,-2.32652
8.5,-8.0,-2.35299
9.0,-8.0,-2.3772
9.5,-8.0,-2.39691
10.0,-8.0,-2.41155
-10.0,-7.5,-11.08932
-9.5,-7.5,-11.08932
-9.0,-7.5,-11.08932
-8.5,-7.5,-11.08932
-8.0,-7.5,-11.08932
-7.5,-7.5,-11.08932
-7.0,-7.5,-11.08932
-6.5,-7.5,-11.08932
-6.0,-7.5,-11.08932
-5.5,-7.5,-11.08933
-5.0,-7.5,-11.08933
-4.5,-7.5,-11.08934
-4.0,-7.5,-11.08936
-3.5,-7.5,-11.08938
-3.0,-7.5,-11.08939
-2.5,-7.5,-11.08938
-2.0,-7.5,-11.08924
-1.5,-7.5,-11.08871
-1.0,-7.5,-11.08701
-0.5,-7.5,-11.08198
0.0,-7.5,-11.06763
0.5,-7.5,-11.02774
1.0,-7.5,-10.91928
1.5,-7.5,-10.6348
2.0,-7.5,-9.94425
2.5,-7.5,-8.53217
3.0,-7.5,-6.43598
3.5,-7.5,-4.43848
4.0,-7.5,-3.19515
4.5,-7.5,-2.6147
5.0,-7.5,-2.3829
5.5,-7.5,-2.30063
6.0,-7.5,-2.27937
6.5,-7.5,-2.28451
7.0,-7.5,-2.3026
7.5,-7.5,-2.32714
8.0,-7.5,-2.35339
8.5,-7.5,-2.37755
9.0,-7.5,-2.39726
9.5,-7.5,-2.41191
10.0,-7.5,-2.42207
-10.0,-7.0,-11.07524
-9.5,-7.0,-11.07524
-9.0,-7.0,-11.07524
-8.5,-7.0,-11.07524
-8.0,-7.0,-11.07524
-7.5,-7.0,-11.07524
-7.0,-7.0,-11.07524
-6.5,-7.0,-11.07524
-6.0,-7.0,-11.07525
-5.5,-7.0,-11.07525
-5.0,-7.0,-11.07526
-4.5,-7.0,-11.07528
-4.0,-7.0,-11.0753
-3.5,-7.0,-11.07533
-3.0,-7.0,-11.07536
-2.5,-7.0,-11.07533
-2.0,-7.0,-11.07511
-1.5,-7.0,-11.07424
-1.0,-7.0,-11.07145
