theta0,theta1,v_gamma
5.0,-8.5,-2.5319900932331034
5.5,-8.5,-2.3200191602145144
6.0,-8.5,-2.2421351939565954
6.5,-8.5,-2.2189530370420973
7.0,-8.5,-2.2191580578040346
7.5,-8.5,-2.231225383488346
8.0,-8.5,-2.2505320890387916
8.5,-8.5,-2.2739920301656595
9.0,-8.5,-2.2983486559410795
9.5,-8.5,-2.3205132715707757
10.0,-8.5,-2.3385173701062714
-10.0,-8.0,-8.776865420373024
-9.5,-8.0,-8.776865449611941
-9.0,-8.0,-8.776865497784978
-8.5,-8.0,-8.77686557711707
-8.0,-8.0,-8.776865707663946
-7.5,-8.0,-8.776865922220843
-7.0,-8.0,-8.776866274120902
-6.5,-8.0,-8.776866849292302
-6.0,-8.0,-8.776867783960926
-5.5,-8.0,-8.776869287922269
-5.0,-8.0,-8.776871666831905
-4.5,-8.0,-8.776875315250038
-4.0,-8.0,-8.776880586368218
-3.5,-8.0,-8.776887254275458
-3.0,-8.0,-8.776892749517627
-2.5,-8.0,-8.776886863786723
-2.0,-8.0,-8.776836533564525
-1.5,-8.0,-8.776643127695081
-1.0,-8.0,-8.776024162367309
-0.5,-8.0,-8.774188528990797
0.0,-8.0,-8.768951040338736
0.5,-8.0,-8.754341500100104
1.0,-8.0,-8.714281425501163
1.5,-8.0,-8.606751599595759
2.0,-8.0,-8.330014022948108
2.5,-8.0,-7.683680245657356
3.0,-8.0,-6.4593113267879705
3.5,-8.0,-4.846729964874056
4.0,-8.0,-3.4990298395975423
4.5,-8.0,-2.739006158550423
5.0,-8.0,-2.403419425258338
5.5,-8.0,-2.27401644540158
6.0,-8.0,-2.23093194468121
6.5,-8.0,-2.2236600142257896
7.0,-8.0,-2.232949573044807
7.5,-8.0,-2.2512358222893494
8.0,-8.0,-2.2743321198314512
8.5,-8.0,-2.2985702644284443
9.0,-8.0,-2.3207058279727835
9.5,-8.0,-2.3387107736523913
10.0,-8.0,-2.3520656820166455
-10.0,-7.5,-8.7717290197723
-9.5,-7.5,-8.771729068006339
-9.0,-7.5,-8.771729147475215
-8.5,-7.5,-8.771729278346042
-8.0,-7.5,-8.771729493704562
-7.5,-7.5,-8.771729847653534
-7.0,-7.5,-8.77173042817984
-6.5,-7.5,-8.771731377050834
-6.0,-7.5,-8.77173291903493
-5.5,-7.5,-8.771735400339475
-5.0,-7.5,-8.771739325510504
-4.5,-7.5,-8.771745346307894
-4.0,-7.5,-8.77175404774766
-3.5,-7.5,-8.77176506360259
-3.0,-7.5,-8.771774172682143
-2.5,-7.5,-8.771764582468023
-2.0,-7.5,-8.771681879940369
-1.5,-7.5,-8.771363720739858
-1.0,-7.5,-8.770345166993597
-0.5,-7.5,-8.767324670911048
0.0,-7.5,-8.75871177680458
0.5,-7.5,-8.734733042850499
1.0,-7.5,-8.66933473565053
1.5,-7.5,-8.496306777600582
2.0,-7.5,-8.067153341158104
2.5,-7.5,-7.1470298649311035
3.0,-7.5,-5.665017223341401
3.5,-7.5,-4.105540630964009
4.0,-7.5,-3.0521144904093056
4.5,-7.5,-2.5363662162836365
5.0,-7.5,-2.325913479860431
5.5,-7.5,-2.2505867424306043
6.0,-7.5,-2.231068596825824
6.5,-7.5,-2.2357901104928675
7.0,-7.5,-2.2523956967742778
7.5,-7.5,-2.2748927383965514
8.0,-7.5,-2.29893558756164
8.5,-7.5,-2.3210232581606505
9.0,-7.5,-2.3390296010320255
9.5,-7.5,-2.352398430795717
10.0,-7.5,-2.3616632481555078
-10.0,-7.0,-8.763278506044372
-9.5,-7.0,-8.763278585642475
-9.0,-7.0,-8.76327871678606
-8.5,-7.0,-8.763278932756547
-8.0,-7.0,-8.763279288155582
-7.5,-7.0,-8.763279872271642
-7.0,-7.0,-8.76328083032035
-6.5,-7.0,-8.763282396295459
-6.0,-7.0,-8.763284941237133
-5.5,-7.0,-8.76328903679162
-5.0,-7.0,-8.76329551645264
-4.5,-7.0,-8.76330545814725
-4.0,-7.0,-8.763319833718962
