theta0,theta1,v_gamma
-2.5,-9.5,-7.981201075311442
-2.0,-9.5,-7.981191954702626
-1.5,-9.5,-7.981156953251148
-1.0,-9.5,-7.981044980311491
-0.5,-9.5,-7.9807128822841475
0.0,-9.5,-7.979764612530543
0.5,-9.5,-7.9771132117524965
1.0,-9.5,-7.9697944184857
1.5,-9.5,-7.949790462075093
2.0,-9.5,-7.895778480578996
2.5,-9.5,-7.753422835263156
3.0,-9.5,-7.399212589086174
3.5,-9.5,-6.629023879550045
4.0,-9.5,-5.352580416124749
4.5,-9.5,-3.9572258399323865
5.0,-9.5,-2.9819038128264
5.5,-9.5,-2.493341603110506
6.0,-9.5,-2.2900250473074415
6.5,-9.5,-2.213690983673427
7.0,-9.5,-2.1888461383330102
7.5,-9.5,-2.185453390193373
8.0,-9.5,-2.1926808377798332
8.5,-9.5,-2.2068682638142048
9.0,-9.5,-2.2263479085970763
9.5,-9.5,-2.249184148827018
10.0,-9.5,-2.2726356419357217
-10.0,-9.0,-7.98026778893761
-9.5,-9.0,-7.980267797633863
-9.0,-9.0,-7.980267811961495
-8.5,-9.0,-7.9802678355564005
-8.0,-9.0,-7.980267874383442
-7.5,-9.0,-7.980267938196228
-7.0,-9.0,-7.980268042856127
-6.5,-9.0,-7.980268213917154
-6.0,-9.0,-7.980268491888072
-5.5,-9.0,-7.9802689391456205
-5.0,-9.0,-7.980269646541441
-4.5,-9.0,-7.980270731271902
-4.0,-9.0,-7.980272297964864
-3.5,-9.0,-7.980274278292656
-3.0,-9.0,-7.9802759049579555
-2.5,-9.0,-7.9802741333993215
-2.0,-9.0,-7.980259106867639
-1.5,-9.0,-7.980201426386194
-1.0,-9.0,-7.980016887325953
-0.5,-9.0,-7.979469571856838
0.0,-9.0,-7.9779069668154685
0.5,-9.0,-7.973539590938375
1.0,-9.0,-7.961497554244547
1.5,-9.0,-7.9286842930554435
2.0,-9.0,-7.840812814378499
2.5,-9.0,-7.614168210370487
3.0,-9.0,-7.079560755807137
3.5,-9.0,-6.043725858255845
4.0,-9.0,-4.6298068622641
4.5,-9.0,-3.4018734937195605
5.0,-9.0,-2.6894888398778853
5.5,-9.0,-2.3695479836329207
6.0,-9.0,-2.244117873939089
6.5,-9.0,-2.2002482043601543
7.0,-9.0,-2.189705166477029
7.5,-9.0,-2.194273889720893
8.0,-9.0,-2.2074774858604354
8.5,-9.0,-2.2265963238443423
9.0,-9.0,-2.249304102491485
9.5,-9.0,-2.2727137509405844
10.0,-9.0,-2.2939573441517345
-10.0,-8.5,-7.978736065231229
-9.5,-8.5,-7.978736079572601
-9.0,-8.5,-7.978736103200933
-8.5,-8.5,-7.978736142112376
-8.0,-8.5,-7.97873620614393
-7.5,-8.5,-7.97873631138091
-7.0,-8.5,-7.978736483981624
-6.5,-8.5,-7.978736766090052
-6.0,-8.5,-7.978737224515724
-5.5,-8.5,-7.978737962139751
-5.0,-8.5,-7.978739128824832
-4.5,-8.5,-7.97874091794052
-4.0,-8.5,-7.978743502294043
-3.5,-8.5,-7.978746769911968
-3.0,-8.5,-7.978749457336453
-2.5,-8.5,-7.978746548886318
-2.0,-8.5,-7.978721803687647
-1.5,-8.5,-7.978626778416716
-1.0,-8.5,-7.978322723524251
-0.5,-8.5,-7.977420954784988
0.0,-8.5,-7.974846901484944
0.5,-8.5,-7.967657290520358
1.0,-8.5,-7.947869951187593
1.5,-8.5,-7.894220994158923
2.0,-8.5,-7.752462285038687
2.5,-8.5,-7.399163367984439
3.0,-8.5,-6.630100645893291
3.5,-8.5,-5.354508178078397
4.0,-8.5,-3.959384999941849
4.5,-8.5,-2.9841216783191142
5.0,-8.5,-2.4959546866423556
5.5,-8.5,-2.2935961066077963
6.0,-8.5,-2.2189504594075524
6.5,-8.5,-2.196701594834276
7.0,-8.5,-2.1968984232448943
7.5,-8.5,-2.2084816182720277
8.0,-8.5,-2.227005837495178
8.5,-8.5,-2.249501859499883
9.0,-8.5,-2.2728425243816894
9.5,-8.5,-2.294069168434458
10.0,-8.5,-2.3113019412604956
-10.0,-8.0,-7.976212498178365
-9.5,-8.0,-7.976212521833263
-9.0,-8.0,-7.976212560806264
-8.5,-8.0,-7.976212624987587
-8.0,-8.0,-7.976212730602756
-7.5,-8.0,-7.976212904183789
-7.0,-8.0,-7.976213188878328
-6.5,-8.0,-7.976213654204057
-6.0,-8.0,-7.976214410370572
-5.5,-8.0,-7.9762156271068045
-5.0,-8.0,-7.976217551694433
-4.5,-8.0,-7.976220503340752
-4.0,-8.0,-7.97622476778476
-3.5,-8.0,-7.976230162259303
-3.0,-8.0,-7.976234608022929
-2.5,-8.0,-7.976229846345882
-2.0,-8.0,-7.976189128134986
-1.5,-8.0,-7.976032658231943
-1.0,-8.0,-7.975531895617517
-0.5,-8.0,-7.974046764306681
0.0,-8.0,-7.969808964625048
0.5,-8.0,-7.957985038826232
1.0,-8.0,-7.92554107012768
1.5,-8.0,-7.838293412515923
2.0,-8.0,-7.6126686198423075
2.5,-8.0,-7.079543366798455
3.0,-8.0,-6.045295115888443
3.5,-8.0,-4.632286624338604
4.0,-8.0,-3.404566675400733
4.5,-8.0,-2.692462901220948
5.0,-8.0,-2.373353492085653
5.5,-8.0,-2.2495252640805035
6.0,-8.0,-2.2081999971500337
6.5,-8.0,-2.2012202104509444
7.0,-8.0,-2.2101363239233898
7.5,-8.0,-2.2276808649658144
8.0,-8.0,-2.249827869939442
8.5,-8.0,-2.2730548181256367
9.0,-8.0,-2.294253520061104
9.5,-8.0,-2.3114870132545944
10.0,-8.0,-2.3242642563685387
-10.0,-7.5,-7.972056775224843
-9.5,-7.5,-7.97205681425221
-9.0,-7.5,-7.972056878552456
-8.5,-7.5,-7.972056984443313
-8.0,-7.5,-7.972057158695264
-7.5,-7.5,-7.972057445084205
-7.0,-7.5,-7.972057914802516
-6.5,-7.5,-7.972058682557684
-6.0,-7.5,-7.97205993021541
-5.5,-7.5,-7.972061937900592
-5.0,-7.5,-7.972065113853781
-4.5,-7.5,-7.972069985429607
-4.0,-7.5,-7.972077025978071
-3.5,-7.5,-7.972085939174443
-3.0,-7.5,-7.972093309550587
-2.5,-7.5,-7.9720855498768
-2.0,-7.5,-7.972018633187721
-1.5,-7.5,-7.97176120130931
-1.0,-7.5,-7.970937046019593
-0.5,-7.5,-7.968492910304355
0.0,-7.5,-7.961522483909225
0.5,-7.5,-7.942108549039661
1.0,-7.5,-7.889100762885533
1.5,-7.5,-7.748435425322141
2.0,-7.5,-7.396898445200309
2.5,-7.5,-6.63020450751616
3.0,-7.5,-5.356714012294046
3.5,-7.5,-3.962521823418256
