theta0,theta1,value
-3.5,-7.0,-25.32026257624756
-3.0,-7.0,-25.32026257624756
-2.5,-7.0,-25.32026257624756
-2.0,-7.0,-25.32026257624756
-1.5,-7.0,-25.32026257624756
-1.0,-7.0,-25.32026257624756
-0.5,-7.0,-25.32026257624756
0.0,-7.0,-25.32026257624756
0.5,-7.0,-25.32026257624756
1.0,-7.0,-25.32026257624756
1.5,-7.0,-25.32026257624756
2.0,-7.0,-25.32026257624756
2.5,-7.0,-25.32026257624756
3.0,-7.0,-25.32026257624756
3.5,-7.0,-25.32026257624756
4.0,-7.0,-25.32026257624756
4.5,-7.0,-25.32026257624756
5.0,-7.0,-25.32026257624756
5.5,-7.0,-25.32026257624756
6.0,-7.0,-25.32026257624756
6.5,-7.0,-25.32026257624756
7.0,-7.0,-25.32026257624756
7.5,-7.0,-25.32026257624756
8.0,-7.0,-25.32026257624756
8.5,-7.0,-25.32026257624756
9.0,-7.0,-25.32026257624756
9.5,-7.0,-25.32026257624756
10.0,-7.0,-25.32026257624756
-10.0,-6.5,-25.320056632362405
-9.5,-6.5,-25.320056632362405
-9.0,-6.5,-25.320056632362405
-8.5,-6.5,-25.320056632362405
-8.0,-6.5,-25.320056632362405
-7.5,-6.5,-25.320056632362405
-7.0,-6.5,-25.320056632362405
-6.5,-6.5,-25.320056632362405
-6.0,-6.5,-25.320056632362405
-5.5,-6.5,-25.320056632362405
-5.0,-6.5,-25.320056632362405
-4.5,-6.5,-25.320056632362405
-4.0,-6.5,-25.320056632362405
-3.5,-6.5,-25.320056632362405
-3.0,-6.5,-25.320056632362405
-2.5,-6.5,-25.320056632362405
-2.0,-6.5,-25.320056632362405
-1.5,-6.5,-25.320056632362405
-1.0,-6.5,-25.320056632362405
-0.5,-6.5,-25.320056632362405
0.0,-6.5,-25.320056632362405
0.5,-6.5,-25.320056632362405
1.0,-6.5,-25.320056632362405
1.5,-6.5,-25.320056632362405
2.0,-6.5,-25.320056632362405
2.5,-6.5,-25.320056632362405
3.0,-6.5,-25.320056632362405
3.5,-6.5,-25.320056632362405
4.0,-6.5,-25.320056632362405
4.5,-6.5,-25.320056632362405
5.0,-6.5,-25.320056632362405
5.5,-6.5,-25.320056632362405
6.0,-6.5,-25.320056632362405
6.5,-6.5,-25.320056632362405
7.0,-6.5,-25.320056632362405
7.5,-6.5,-25.320056632362405
8.0,-6.5,-25.320056632362405
8.5,-6.5,-25.320056632362405
9.0,-6.5,-25.320056632362405
9.5,-6.5,-25.320056632362405
10.0,-6.5,-25.320056632362405
-10.0,-6.0,-25.31971736128544
-9.5,-6.0,-25.31971736128544
-9.0,-6.0,-25.31971736128544
-8.5,-6.0,-25.31971736128544
-8.0,-6.0,-25.31971736128544
-7.5,-6.0,-25.31971736128544
-7.0,-6.0,-25.31971736128544
-6.5,-6.0,-25.31971736128544
-6.0,-6.0,-25.31971736128544
-5.5,-6.0,-25.31971736128544
-5.0,-6.0,-25.31971736128544
-4.5,-6.0,-25.31971736128544
-4.0,-6.0,-25.31971736128544
-3.5,-6.0,-25.31971736128544
-3.0,-6.0,-25.31971736128544
-2.5,-6.0,-25.31971736128544
-2.0,-6.0,-25.31971736128544
-1.5,-6.0,-25.31971736128544
-1.0,-6.0,-25.31971736128544
-0.5,-6.0,-25.31971736128544
0.0,-6.0,-25.31971736128544
0.5,-6.0,-25.31971736128544
1.0,-6.0,-25.31971736128544
1.5,-6.0,-25.31971736128544
2.0,-6.0,-25.31971736128544
2.5,-6.0,-25.31971736128544
3.0,-6.0,-25.31971736128544
3.5,-6.0,-25.31971736128544
4.0,-6.0,-25.31971736128544
4.5,-6.0,-25.31971736128544
5.0,-6.0,-25.31971736128544
5.5,-6.0,-25.31971736128544
6.0,-6.0,-25.31971736128544
6.5,-6.0,-25.31971736128544
7.0,-6.0,-25.31971736128544
7.5,-6.0,-25.31971736128544
8.0,-6.0,-25.31971736128544
8.5,-6.0,-25.31971736128544
9.0,-6.0,-25.31971736128544
9.5,-6.0,-25.31971736128544
10.0,-6.0,-25.31971736128544
-10.0,-5.5,-25.319158738692202
-9.5,-5.5,-25.319158738692202
-9.0,-5.5,-25.319158738692202
-8.5,-5.5,-25.319158738692202
-8.0,-5.5,-25.319158738692202
