theta0,theta1,bias
9.0,-6.0,15.15809
9.5,-6.0,15.15809
10.0,-6.0,15.1581
-10.0,-5.5,-0.22167
-9.5,-5.5,-0.22167
-9.0,-5.5,-0.22167
-8.5,-5.5,-0.22167
-8.0,-5.5,-0.22167
-7.5,-5.5,-0.22167
-7.0,-5.5,-0.22167
-6.5,-5.5,-0.22167
-6.0,-5.5,-0.22167
-5.5,-5.5,-0.22167
-5.0,-5.5,-0.22167
-4.5,-5.5,-0.22167
-4.0,-5.5,-0.22167
-3.5,-5.5,-0.22167
-3.0,-5.5,-0.22166
-2.5,-5.5,-0.22162
-2.0,-5.5,-0.22142
-1.5,-5.5,-0.22044
-1.0,-5.5,-0.21583
-0.5,-5.5,-0.19454
0.0,-5.5,-0.09746
0.5,-5.5,0.33539
1.0,-5.5,2.1144
1.5,-5.5,7.19207
2.0,-5.5,12.11431
2.5,-5.5,13.8478
3.0,-5.5,14.51383
3.5,-5.5,14.8767
4.0,-5.5,15.06165
4.5,-5.5,15.14146
5.0,-5.5,15.17271
5.5,-5.5,15.18445
6.0,-5.5,15.1888
6.5,-5.5,15.1904
7.0,-5.5,15.19098
7.5,-5.5,15.1912
8.0,-5.5,15.19128
8.5,-5.5,15.19131
9.0,-5.5,15.19132
9.5,-5.5,15.19132
10.0,-5.5,15.19132
-10.0,-5.0,-0.17798
-9.5,-5.0,-0.17798
-9.0,-5.0,-0.17798
-8.5,-5.0,-0.17798
-8.0,-5.0,-0.17798
-7.5,-5.0,-0.17798
-7.0,-5.0,-0.17798
-6.5,-5.0,-0.17798
-6.0,-5.0,-0.17798
-5.5,-5.0,-0.17798
-5.0,-5.0,-0.17798
-4.5,-5.0,-0.17798
-4.0,-5.0,-0.17799
-3.5,-5.0,-0.17798
-3.0,-5.0,-0.17797
-2.5,-5.0,-0.17791
-2.0,-5.0,-0.17757
-1.5,-5.0,-0.17595
-1.0,-5.0,-0.16835
-0.5,-5.0,-0.13327
0.0,-5.0,0.02601
0.5,-5.0,0.72289
1.0,-5.0,3.38245
1.5,-5.0,9.19607
2.0,-5.0,13.00256
2.5,-5.0,14.23322
3.0,-5.0,14.76445
3.5,-5.0,15.03903
4.0,-5.0,15.16454
4.5,-5.0,15.21526
5.0,-5.0,15.23454
5.5,-5.0,15.24171
6.0,-5.0,15.24434
6.5,-5.0,15.24531
7.0,-5.0,15.24567
7.5,-5.0,15.2458
8.0,-5.0,15.24585
8.5,-5.0,15.24587
9.0,-5.0,15.24587
9.5,-5.0,15.24588
10.0,-5.0,15.24588
-10.0,-4.5,-0.10646
-9.5,-4.5,-0.10646
-9.0,-4.5,-0.10646
-8.5,-4.5,-0.10646
-8.0,-4.5,-0.10646
-7.5,-4.5,-0.10646
-7.0,-4.5,-0.10646
-6.5,-4.5,-0.10646
-6.0,-4.5,-0.10646
-5.5,-4.5,-0.10646
-5.0,-4.5,-0.10646
-4.5,-4.5,-0.10647
-4.0,-4.5,-0.10647
-3.5,-4.5,-0.10646
-3.0,-4.5,-0.10645
-2.5,-4.5,-0.10634
-2.0,-4.5,-0.10579
-1.5,-4.5,-0.10311
-1.0,-4.5,-0.09056
-0.5,-4.5,-0.03276
0.0,-4.5,0.2277
0.5,-4.5,1.33319
1.0,-4.5,5.08789
1.5,-4.5,10.95496
2.0,-4.5,13.69269
2.5,-4.5,14.59636
3.0,-4.5,15.00828
3.5,-4.5,15.20312
4.0,-4.5,15.28488
4.5,-4.5,15.31651
5.0,-4.5,15.32831
5.5,-4.5,15.33267
6.0,-4.5,15.33427
6.5,-4.5,15.33485
7.0,-4.5,15.33507
7.5,-4.5,15.33515
8.0,-4.5,15.33518
8.5,-4.5,15.33519
9.0,-4.5,15.33519
9.5,-4.5,15.33519
10.0,-4.5,15.33519
-10.0,-4.0,0.01011
-9.5,-4.0,0.01011
-9.0,-4.0,0.01011
-8.5,-4.0,0.01011
-8.0,-4.0,0.01011
-7.5,-4.0,0.01011
-7.0,-4.0,0.01011
-6.5,-4.0,0.01011
-6.0,-4.0,0.01011
-5.5,-4.0,0.01011
-5.0,-4.0,0.01011
-4.5,-4.0,0.01011
-4.0,-4.0,0.01011
-3.5,-4.0,0.01011
-3.0,-4.0,0.01014
-2.5,-4.0,0.01032
-2.0,-4.0,0.01123
-1.5,-4.0,0.01565
-1.0,-4.0,0.03638
-0.5,-4.0,0.13156
0.0,-4.0,0.55531
0.5,-4.0,2.26849
1.0,-4.0,7.15607
1.5,-4.0,12.37786
2.0,-4.0,14.28844
2.5,-4.0,14.96365
3.0,-4.0,15.26703
3.5,-4.0,15.39817
4.0,-4.0,15.44996
4.5,-4.0,15.46943
5.0,-4.0,15.47661
5.5,-4.0,15.47925
6.0,-4.0,15.48022
6.5,-4.0,15.48057
7.0,-4.0,15.4807
7.5,-4.0,15.48075
8.0,-4.0,15.48077
8.5,-4.0,15.48078
9.0,-4.0,15.48078
9.5,-4.0,15.48078
10.0,-4.0,15.48078
-10.0,-3.5,0.19875
-9.5,-3.5,0.19875
-9.0,-3.5,0.19875
-8.5,-3.5,0.19875
-8.0,-3.5,0.19875
-7.5,-3.5,0.19875
-7.0,-3.5,0.19875
-6.5,-3.5,0.19875
-6.0,-3.5,0.19875
-5.5,-3.5,0.19875
-5.0,-3.5,0.19875
-4.5,-3.5,0.19875
-4.0,-3.5,0.19875
-3.5,-3.5,0.19875
-3.0,-3.5,0.1988
-2.5,-3.5,0.1991
-2.0,-3.5,0.20061
-1.5,-3.5,0.20792
-1.0,-3.5,0.24219
-0.5,-3.5,0.39881
0.0,-3.5,1.08239
0.5,-3.5,3.64371
1.0,-3.5,9.37883
1.5,-3.5,13.53668
2.0,-3.5,14.87147
2.5,-3.5,15.36919
3.0,-3.5,15.58059
3.5,-3.5,15.66545
4.0,-3.5,15.69761
4.5,-3.5,15.70949
5.0,-3.5,15.71384
5.5,-3.5,15.71544
6.0,-3.5,15.71602
6.5,-3.5,15.71624
7.0,-3.5,15.71632
7.5,-3.5,15.71634
8.0,-3.5,15.71635
8.5,-3.5,15.71636
