theta0,theta1,value
2.5,-9.5,37.48206438691601
3.0,-9.5,41.40339624153242
3.5,-9.5,45.104102932680966
4.0,-9.5,47.5639122784883
4.5,-9.5,49.35832286007166
5.0,-9.5,50.65664694514174
5.5,-9.5,51.39859768119568
6.0,-9.5,51.779997454489916
6.5,-9.5,52.02018413277236
7.0,-9.5,52.252510147974334
7.5,-9.5,52.55383766910601
8.0,-9.5,52.974822327475636
8.5,-9.5,53.54463714391758
9.0,-9.5,54.257849427867946
9.5,-9.5,55.061440743147955
10.0,-9.5,55.864834545258645
-10.0,-9.0,33.30047450964069
-9.5,-9.0,33.30047453347653
-9.0,-9.0,33.30047457276879
-8.5,-9.0,33.30047463753357
-8.0,-9.0,33.300474744265976
-7.5,-9.0,33.30047492011096
-7.0,-9.0,33.30047520968496
-6.5,-9.0,33.300475686172845
-6.0,-9.0,33.30047646921551
-5.5,-9.0,33.300477753290664
-5.0,-9.0,33.30047985147933
-4.5,-9.0,33.30048325936932
-4.0,-9.0,33.30048873784551
-3.5,-9.0,33.30049738763875
-3.0,-9.0,33.30051060115423
-2.5,-9.0,33.30052950573139
-2.0,-9.0,33.30055269190515
-1.5,-9.0,33.30056852570645
-1.0,-9.0,33.30053052271307
-0.5,-9.0,33.300278493831456
0.0,-9.0,33.299281161116994
0.5,-9.0,33.29586283340375
1.0,-9.0,33.28767449020404
1.5,-9.0,33.3772188295998
2.0,-9.0,34.94022402016189
2.5,-9.0,38.52839567861592
3.0,-9.0,42.739336155369614
3.5,-9.0,46.18556229854777
4.0,-9.0,48.44286868654194
4.5,-9.0,50.075514611234134
5.0,-9.0,51.10957666957991
5.5,-9.0,51.658976699960114
6.0,-9.0,51.973336233836996
6.5,-9.0,52.234844085002834
7.0,-9.0,52.54715482945462
7.5,-9.0,52.97220810071092
8.0,-9.0,53.54352208349907
8.5,-9.0,54.25728588464536
9.0,-9.0,55.06108002030368
9.5,-9.0,55.86454841008194
10.0,-9.0,56.57698099434725
-10.0,-8.5,33.30007437146984
-9.5,-8.5,33.300074410768474
-9.0,-8.5,33.30007447555041
-8.5,-8.5,33.30007458232953
-8.0,-8.5,33.300074758301506
-7.5,-8.5,33.30007504822082
-7.0,-8.5,33.30007552564753
-6.5,-8.5,33.30007631124312
-6.0,-8.5,33.300077602261794
