theta0,theta1,bias
8.0,-7.0,0.83494
8.5,-7.0,0.93702
9.0,-7.0,1.003
9.5,-7.0,1.04445
10.0,-7.0,1.07009
-10.0,-6.5,-1.003
-9.5,-6.5,-1.003
-9.0,-6.5,-1.003
-8.5,-6.5,-1.003
-8.0,-6.5,-1.003
-7.5,-6.5,-1.003
-7.0,-6.5,-1.003
-6.5,-6.5,-1.00299
-6.0,-6.5,-1.00299
-5.5,-6.5,-1.00297
-5.0,-6.5,-1.00296
-4.5,-6.5,-1.00293
-4.0,-6.5,-1.00288
-3.5,-6.5,-1.0028
-3.0,-6.5,-1.00267
-2.5,-6.5,-1.00245
-2.0,-6.5,-1.00209
-1.5,-6.5,-1.00149
-1.0,-6.5,-1.00051
-0.5,-6.5,-0.9989
0.0,-6.5,-0.99625
0.5,-6.5,-0.99189
1.0,-6.5,-0.98474
1.5,-6.5,-0.97305
2.0,-6.5,-0.95404
2.5,-6.5,-0.92337
3.0,-6.5,-0.87459
3.5,-6.5,-0.79868
4.0,-6.5,-0.68458
4.5,-6.5,-0.52175
5.0,-6.5,-0.30612
5.5,-6.5,-0.04795
6.0,-6.5,0.2253
6.5,-6.5,0.47808
7.0,-6.5,0.68376
7.5,-6.5,0.8343
8.0,-6.5,0.93643
8.5,-6.5,1.00243
9.0,-6.5,1.0439
9.5,-6.5,1.06955
10.0,-6.5,1.08528
-10.0,-6.0,-1.00494
-9.5,-6.0,-1.00494
-9.0,-6.0,-1.00494
-8.5,-6.0,-1.00494
-8.0,-6.0,-1.00494
-7.5,-6.0,-1.00494
-7.0,-6.0,-1.00494
-6.5,-6.0,-1.00493
-6.0,-6.0,-1.00492
-5.5,-6.0,-1.0049
-5.0,-6.0,-1.00487
-4.5,-6.0,-1.00482
-4.0,-6.0,-1.00474
-3.5,-6.0,-1.00461
-3.0,-6.0,-1.00439
-2.5,-6.0,-1.00403
-2.0,-6.0,-1.00343
-1.5,-6.0,-1.00246
-1.0,-6.0,-1.00084
-0.5,-6.0,-0.99819
0.0,-6.0,-0.99383
0.5,-6.0,-0.98668
1.0,-6.0,-0.97498
1.5,-6.0,-0.95596
2.0,-6.0,-0.92528
2.5,-6.0,-0.87647
3.0,-6.0,-0.80054
3.5,-6.0,-0.68639
4.0,-6.0,-0.52348
4.5,-6.0,-0.30775
5.0,-6.0,-0.04946
5.5,-6.0,0.22393
6.0,-6.0,0.47684
6.5,-6.0,0.68263
7.0,-6.0,0.83326
7.5,-6.0,0.93545
8.0,-6.0,1.00149
8.5,-6.0,1.04299
9.0,-6.0,1.06866
9.5,-6.0,1.0844
10.0,-6.0,1.09401
-10.0,-5.5,-1.00814
-9.5,-5.5,-1.00814
-9.0,-5.5,-1.00814
-8.5,-5.5,-1.00814
-8.0,-5.5,-1.00813
-7.5,-5.5,-1.00813
-7.0,-5.5,-1.00812
-6.5,-5.5,-1.00811
-6.0,-5.5,-1.00809
-5.5,-5.5,-1.00806
-5.0,-5.5,-1.00802
-4.5,-5.5,-1.00794
-4.0,-5.5,-1.0078
-3.5,-5.5,-1.00758
-3.0,-5.5,-1.00722
-2.5,-5.5,-1.00663
-2.0,-5.5,-1.00565
-1.5,-5.5,-1.00404
-1.0,-5.5,-1.00138
-0.5,-5.5,-0.99702
0.0,-5.5,-0.98986
