theta0,theta1,bias
10.0,-5.5,5.99593
-10.0,-5.0,2.99331
-9.5,-5.0,2.99331
-9.0,-5.0,2.99331
-8.5,-5.0,2.99331
-8.0,-5.0,2.99331
-7.5,-5.0,2.99331
-7.0,-5.0,2.99331
-6.5,-5.0,2.99331
-6.0,-5.0,2.99331
-5.5,-5.0,2.99331
-5.0,-5.0,2.99331
-4.5,-5.0,2.99331
-4.0,-5.0,2.99331
-3.5,-5.0,2.99331
-3.0,-5.0,2.99331
-2.5,-5.0,2.99332
-2.0,-5.0,2.99336
-1.5,-5.0,2.99353
-1.0,-5.0,2.99431
-0.5,-5.0,2.99781
0.0,-5.0,3.01339
0.5,-5.0,3.08124
1.0,-5.0,3.35092
1.5,-5.0,4.12593
2.0,-5.0,5.18648
2.5,-5.0,5.76573
3.0,-5.0,5.93935
3.5,-5.0,5.9811
4.0,-5.0,5.99057
4.5,-5.0,5.9927
5.0,-5.0,5.99317
5.5,-5.0,5.99328
6.0,-5.0,5.9933
6.5,-5.0,5.99331
7.0,-5.0,5.99331
7.5,-5.0,5.99331
8.0,-5.0,5.99331
8.5,-5.0,5.99331
9.0,-5.0,5.99331
9.5,-5.0,5.99331
10.0,-5.0,5.99331
-10.0,-4.5,2.98901
-9.5,-4.5,2.98901
-9.0,-4.5,2.98901
-8.5,-4.5,2.98901
-8.0,-4.5,2.98901
-7.5,-4.5,2.98901
-7.0,-4.5,2.98901
-6.5,-4.5,2.98901
-6.0,-4.5,2.98901
-5.5,-4.5,2.98901
-5.0,-4.5,2.98901
-4.5,-4.5,2.98901
-4.0,-4.5,2.98901
-3.5,-4.5,2.98901
-3.0,-4.5,2.98902
-2.5,-4.5,2.98903
-2.0,-4.5,2.9891
-1.5,-4.5,2.98938
-1.0,-4.5,2.99067
-0.5,-4.5,2.99643
0.0,-4.5,3.02197
0.5,-4.5,3.13129
1.0,-4.5,3.53629
1.5,-4.5,4.48901
2.0,-4.5,5.44174
2.5,-4.5,5.84674
3.0,-4.5,5.95605
3.5,-4.5,5.9816
4.0,-4.5,5.98735
4.5,-4.5,5.98864
5.0,-4.5,5.98893
5.5,-4.5,5.98899
6.0,-4.5,5.98901
6.5,-4.5,5.98901
