theta0,theta1,value
7.0,-9.5,-159.0887133720767
7.5,-9.5,-159.0887133720767
8.0,-9.5,-159.0887133720767
8.5,-9.5,-159.0887133720767
9.0,-9.5,-159.0887133720767
9.5,-9.5,-159.0887133720767
10.0,-9.5,-159.0887133720767
-10.0,-9.0,-159.0886906655274
-9.5,-9.0,-159.0886906655274
-9.0,-9.0,-159.0886906655274
-8.5,-9.0,-159.0886906655274
-8.0,-9.0,-159.0886906655274
-7.5,-9.0,-159.0886906655274
-7.0,-9.0,-159.0886906655274
-6.5,-9.0,-159.0886906655274
-6.0,-9.0,-159.0886906655274
-5.5,-9.0,-159.0886906655274
-5.0,-9.0,-159.0886906655274
-4.5,-9.0,-159.0886906655274
-4.0,-9.0,-159.0886906655274
-3.5,-9.0,-159.0886906655274
-3.0,-9.0,-159.0886906655274
-2.5,-9.0,-159.0886906655274
-2.0,-9.0,-159.0886906655274
-1.5,-9.0,-159.0886906655274
-1.0,-9.0,-159.0886906655274
-0.5,-9.0,-159.0886906655274
0.0,-9.0,-159.0886906655274
0.5,-9.0,-159.0886906655274
1.0,-9.0,-159.0886906655274
1.5,-9.0,-159.0886906655274
2.0,-9.0,-159.0886906655274
2.5,-9.0,-159.0886906655274
3.0,-9.0,-159.0886906655274
3.5,-9.0,-159.0886906655274
4.0,-9.0,-159.0886906655274
4.5,-9.0,-159.0886906655274
5.0,-9.0,-159.0886906655274
5.5,-9.0,-159.0886906655274
6.0,-9.0,-159.0886906655274
6.5,-9.0,-159.0886906655274
7.0,-9.0,-159.0886906655274
7.5,-9.0,-159.0886906655274
8.0,-9.0,-159.0886906655274
8.5,-9.0,-159.0886906655274
9.0,-9.0,-159.0886906655274
9.5,-9.0,-159.0886906655274
10.0,-9.0,-159.0886906655274
-10.0,-8.5,-159.08865323117794
-9.5,-8.5,-159.08865323117794
-9.0,-8.5,-159.08865323117794
-8.5,-8.5,-159.08865323117794
-8.0,-8.5,-159.08865323117794
-7.5,-8.5,-159.08865323117794
-7.0,-8.5,-159.08865323117794
-6.5,-8.5,-159.08865323117794
-6.0,-8.5,-159.08865323117794
-5.5,-8.5,-159.08865323117794
-5.0,-8.5,-159.08865323117794
-4.5,-8.5,-159.08865323117794
-4.0,-8.5,-159.08865323117794
-3.5,-8.5,-159.08865323117794
-3.0,-8.5,-159.08865323117794
-2.5,-8.5,-159.08865323117794
-2.0,-8.5,-159.08865323117794
-1.5,-8.5,-159.08865323117794
-1.0,-8.5,-159.08865323117794
-0.5,-8.5,-159.08865323117794
0.0,-8.5,-159.08865323117794
0.5,-8.5,-159.08865323117794
1.0,-8.5,-159.08865323117794
1.5,-8.5,-159.08865323117794
2.0,-8.5,-159.08865323117794
2.5,-8.5,-159.08865323117794
3.0,-8.5,-159.08865323117794
3.5,-8.5,-159.08865323117794
4.0,-8.5,-159.08865323117794
4.5,-8.5,-159.08865323117794
5.0,-8.5,-159.08865323117794
5.5,-8.5,-159.08865323117794
6.0,-8.5,-159.08865323117794
6.5,-8.5,-159.08865323117794
7.0,-8.5,-159.08865323117794
7.5,-8.5,-159.08865323117794
8.0,-8.5,-159.08865323117794
8.5,-8.5,-159.08865323117794
9.0,-8.5,-159.08865323117794
9.5,-8.5,-159.08865323117794
10.0,-8.5,-159.08865323117794
-10.0,-8.0,-159.08859151895092
-9.5,-8.0,-159.08859151895092
-9.0,-8.0,-159.08859151895092
-8.5,-8.0,-159.08859151895092
-8.0,-8.0,-159.08859151895092
-7.5,-8.0,-159.08859151895092
-7.0,-8.0,-159.08859151895092
-6.5,-8.0,-159.08859151895092
-6.0,-8.0,-159.08859151895092
-5.5,-8.0,-159.08859151895092
