theta0,theta1,gain
2.5,-5.5,3.32815
3.0,-5.5,3.5317
3.5,-5.5,3.62039
4.0,-5.5,3.65574
4.5,-5.5,3.66906
5.0,-5.5,3.67397
5.5,-5.5,3.67576
6.0,-5.5,3.67642
6.5,-5.5,3.67666
7.0,-5.5,3.67675
7.5,-5.5,3.67678
8.0,-5.5,3.67679
8.5,-5.5,3.6768
9.0,-5.5,3.6768
9.5,-5.5,3.6768
10.0,-5.5,3.6768
-10.0,-5.0,1.6032
-9.5,-5.0,1.6032
-9.0,-5.0,1.6032
-8.5,-5.0,1.6032
-8.0,-5.0,1.6032
-7.5,-5.0,1.6032
-7.0,-5.0,1.6032
-6.5,-5.0,1.6032
-6.0,-5.0,1.6032
-5.5,-5.0,1.6032
-5.0,-5.0,1.6032
-4.5,-5.0,1.6032
-4.0,-5.0,1.6032
-3.5,-5.0,1.60319
-3.0,-5.0,1.60318
-2.5,-5.0,1.60316
-2.0,-5.0,1.60308
-1.5,-5.0,1.60287
-1.0,-5.0,1.60227
-0.5,-5.0,1.60055
0.0,-5.0,1.5955
0.5,-5.0,1.58152
1.0,-5.0,1.63557
1.5,-5.0,2.36918
2.0,-5.0,3.08847
2.5,-5.0,3.43499
3.0,-5.0,3.5825
3.5,-5.0,3.64154
4.0,-5.0,3.66387
4.5,-5.0,3.67208
5.0,-5.0,3.67508
5.5,-5.0,3.67617
6.0,-5.0,3.67657
6.5,-5.0,3.67672
7.0,-5.0,3.67677
7.5,-5.0,3.67679
8.0,-5.0,3.6768
8.5,-5.0,3.6768
9.0,-5.0,3.6768
9.5,-5.0,3.6768
10.0,-5.0,3.6768
-10.0,-4.5,1.6032
-9.5,-4.5,1.6032
-9.0,-4.5,1.6032
-8.5,-4.5,1.6032
-8.0,-4.5,1.6032
-7.5,-4.5,1.6032
-7.0,-4.5,1.6032
-6.5,-4.5,1.6032
-6.0,-4.5,1.6032
-5.5,-4.5,1.6032
-5.0,-4.5,1.6032
-4.5,-4.5,1.6032
-4.0,-4.5,1.6032
-3.5,-4.5,1.60319
-3.0,-4.5,1.60317
-2.5,-4.5,1.60313
-2.0,-4.5,1.603
-1.5,-4.5,1.60265
-1.0,-4.5,1.60166
-0.5,-4.5,1.59884
0.0,-4.5,1.59058
0.5,-4.5,1.56883
1.0,-4.5,1.70777
1.5,-4.5,2.62223
2.0,-4.5,3.25435
2.5,-4.5,3.51554
3.0,-4.5,3.61698
3.5,-4.5,3.65501
4.0,-4.5,3.6689
4.5,-4.5,3.67393
5.0,-4.5,3.67575
5.5,-4.5,3.67642
6.0,-4.5,3.67666
6.5,-4.5,3.67675
7.0,-4.5,3.67678
7.5,-4.5,3.67679
8.0,-4.5,3.6768
8.5,-4.5,3.6768
9.0,-4.5,3.6768
9.5,-4.5,3.6768
10.0,-4.5,3.6768
-10.0,-4.0,1.6032
-9.5,-4.0,1.6032
-9.0,-4.0,1.6032
-8.5,-4.0,1.6032
-8.0,-4.0,1.6032
-7.5,-4.0,1.6032
-7.0,-4.0,1.6032
-6.5,-4.0,1.6032
-6.0,-4.0,1.6032
-5.5,-4.0,1.6032
-5.0,-4.0,1.6032
-4.5,-4.0,1.6032
-4.0,-4.0,1.60319
-3.5,-4.0,1.60318
-3.0,-4.0,1.60316
-2.5,-4.0,1.60308
-2.0,-4.0,1.60287
-1.5,-4.0,1.60229
-1.0,-4.0,1.60067
-0.5,-4.0,1.59604
0.0,-4.0,1.58258
0.5,-4.0,1.55044
1.0,-4.0,1.85165
1.5,-4.0,2.87508
2.0,-4.0,3.38668
2.5,-4.0,3.57254
3.0,-4.0,3.63947
3.5,-4.0,3.66343
4.0,-4.0,3.67199
4.5,-4.0,3.67506
5.0,-4.0,3.67617
5.5,-4.0,3.67657
6.0,-4.0,3.67672
6.5,-4.0,3.67677
7.0,-4.0,3.67679
7.5,-4.0,3.6768
8.0,-4.0,3.6768
8.5,-4.0,3.6768
9.0,-4.0,3.6768
9.5,-4.0,3.6768
10.0,-4.0,3.6768
-10.0,-3.5,1.6032
-9.5,-3.5,1.6032
-9.0,-3.5,1.6032
-8.5,-3.5,1.6032
-8.0,-3.5,1.6032
-7.5,-3.5,1.6032
-7.0,-3.5,1.6032
-6.5,-3.5,1.6032
-6.0,-3.5,1.6032
-5.5,-3.5,1.6032
-5.0,-3.5,1.6032
-4.5,-3.5,1.6032
-4.0,-3.5,1.60319
-3.5,-3.5,1.60317
-3.0,-3.5,1.60313
-2.5,-3.5,1.603
-2.0,-3.5,1.60266
-1.5,-3.5,1.60171
-1.0,-3.5,1.59904
-0.5,-3.5,1.59146
0.0,-3.5,1.5697
0.5,-3.5,1.5273
1.0,-3.5,2.08451
1.5,-3.5,3.10094
2.0,-3.5,3.48489
2.5,-3.5,3.61088
3.0,-3.5,3.65375
3.5,-3.5,3.66863
4.0,-3.5,3.67387
4.5,-3.5,3.67574
5.0,-3.5,3.67641
5.5,-3.5,3.67666
6.0,-3.5,3.67675
6.5,-3.5,3.67678
7.0,-3.5,3.67679
7.5,-3.5,3.6768
8.0,-3.5,3.6768
8.5,-3.5,3.6768
9.0,-3.5,3.6768
9.5,-3.5,3.6768
10.0,-3.5,3.6768
-10.0,-3.0,1.6032
-9.5,-3.0,1.6032
-9.0,-3.0,1.6032
-8.5,-3.0,1.6032
-8.0,-3.0,1.6032
-7.5,-3.0,1.6032
-7.0,-3.0,1.6032
-6.5,-3.0,1.6032
-6.0,-3.0,1.6032
-5.5,-3.0,1.6032
-5.0,-3.0,1.6032
-4.5,-3.0,1.60319
-4.0,-3.0,1.60318
-3.5,-3.0,1.60316
-3.0,-3.0,1.60308
-2.5,-3.0,1.60288
-2.0,-3.0,1.60231
-1.5,-3.0,1.60074
-1.0,-3.0,1.59637
-0.5,-3.0,1.58402
0.0,-3.0,1.54931
0.5,-3.0,1.50835
1.0,-3.0,2.38911
1.5,-3.0,3.28301
2.0,-3.0,3.55345
2.5,-3.0,3.63575
3.0,-3.0,3.66267
3.5,-3.0,3.67183
4.0,-3.0,3.67502
4.5,-3.0,3.67616
5.0,-3.0,3.67657
5.5,-3.0,3.67671
6.0,-3.0,3.67677
6.5,-3.0,3.67679
7.0,-3.0,3.6768
7.5,-3.0,3.6768
8.0,-3.0,3.6768
8.5,-3.0,3.6768
9.0,-3.0,3.6768
9.5,-3.0,3.6768
10.0,-3.0,3.6768
-10.0,-2.5,1.6032
-9.5,-2.5,1.6032
-9.0,-2.5,1.6032
-8.5,-2.5,1.6032
-8.0,-2.5,1.6032
-7.5,-2.5,1.6032
-7.0,-2.5,1.6032
-6.5,-2.5,1.6032
-6.0,-2.5,1.6032
-5.5,-2.5,1.6032
-5.0,-2.5,1.6032
-4.5,-2.5,1.60319
-4.0,-2.5,1.60317
-3.5,-2.5,1.60313
-3.0,-2.5,1.603
-2.5,-2.5,1.60267
-2.0,-2.5,1.60173
-1.5,-2.5,1.59916
-1.0,-2.5,1.59201
-0.5,-2.5,1.57204
0.0,-2.5,1.51789
0.5,-2.5,1.52184
1.0,-2.5,2.71363
1.5,-2.5,3.41773
2.0,-2.5,3.59912
2.5,-2.5,3.65149
3.0,-2.5,3.66817
3.5,-2.5,3.67377
4.0,-2.5,3.67572
4.5,-2.5,3.67641
5.0,-2.5,3.67666
5.5,-2.5,3.67675
6.0,-2.5,3.67678
6.5,-2.5,3.67679
7.0,-2.5,3.6768
7.5,-2.5,3.6768
8.0,-2.5,3.6768
8.5,-2.5,3.6768
9.0,-2.5,3.6768
9.5,-2.5,3.6768
10.0,-2.5,3.6768
-10.0,-2.0,1.6032
-9.5,-2.0,1.6032
-9.0,-2.0,1.6032
-8.5,-2.0,1.6032
-8.0,-2.0,1.6032
-7.5,-2.0,1.6032
-7.0,-2.0,1.6032
-6.5,-2.0,1.6032
-6.0,-2.0,1.6032
-5.5,-2.0,1.6032
-5.0,-2.0,1.60319
-4.5,-2.0,1.60318
-4.0,-2.0,1.60316
-3.5,-2.0,1.60308
-3.0,-2.0,1.60288
-2.5,-2.0,1.60232
-2.0,-2.0,1.60079
-1.5,-2.0,1.59656
-1.0,-2.0,1.58492
-0.5,-2.0,1.55305
0.0,-2.0,1.47171
0.5,-2.0,1.62174
1.0,-2.0,3.00325
1.5,-2.0,3.5111
2.0,-2.0,3.62856
2.5,-2.0,3.66129
3.0,-2.0,3.67154
3.5,-2.0,3.67496
4.0,-2.0,3.67614
4.5,-2.0,3.67656
5.0,-2.0,3.67671
5.5,-2.0,3.67677
6.0,-2.0,3.67679
6.5,-2.0,3.6768
7.0,-2.0,3.6768
7.5,-2.0,3.6768
8.0,-2.0,3.6768
8.5,-2.0,3.6768
9.0,-2.0,3.6768
9.5,-2.0,3.6768
10.0,-2.0,3.6768
-10.0,-1.5,1.6032
-9.5,-1.5,1.6032
-9.0,-1.5,1.6032
-8.5,-1.5,1.6032
-8.0,-1.5,1.6032
-7.5,-1.5,1.6032
-7.0,-1.5,1.6032
-6.5,-1.5,1.6032
-6.0,-1.5,1.6032
-5.5,-1.5,1.6032
-5.0,-1.5,1.60319
-4.5,-1.5,1.60317
-4.0,-1.5,1.60313
-3.5,-1.5,1.60301
-3.0,-1.5,1.60267
-2.5,-1.5,1.60175
-2.0,-1.5,1.59923
-1.5,-1.5,1.59233
-1.0,-1.5,1.57355
-0.5,-1.5,1.52363
0.0,-1.5,1.40947
0.5,-1.5,1.858
1.0,-1.5,3.22896
1.5,-1.5,3.57284
2.0,-1.5,3.6471
2.5,-1.5,3.66733
3.0,-1.5,3.6736
3.5,-1.5,3.67568
4.0,-1.5,3.6764
4.5,-1.5,3.67666
5.0,-1.5,3.67675
5.5,-1.5,3.67678
6.0,-1.5,3.67679
6.5,-1.5,3.6768
7.0,-1.5,3.6768
7.5,-1.5,3.6768
8.0,-1.5,3.6768
8.5,-1.5,3.6768
9.0,-1.5,3.6768
9.5,-1.5,3.6768
10.0,-1.5,3.6768
-10.0,-1.0,1.6032
-9.5,-1.0,1.6032
-9.0,-1.0,1.6032
-8.5,-1.0,1.6032
-8.0,-1.0,1.6032
-7.5,-1.0,1.6032
-7.0,-1.0,1.6032
-6.5,-1.0,1.6032
-6.0,-1.0,1.6032
-5.5,-1.0,1.60319
-5.0,-1.0,1.60318
-4.5,-1.0,1.60316
-4.0,-1.0,1.60308
-3.5,-1.0,1.60288
-3.0,-1.0,1.60232
-2.5,-1.0,1.60081
-2.0,-1.0,1.59668
-1.5,-1.0,1.58546
-1.0,-1.0,1.55555
-0.5,-1.0,1.47969
0.0,-1.0,1.33889
0.5,-1.0,2.21412
1.0,-1.0,3.38908
1.5,-1.0,3.6124
2.0,-1.0,3.65862
2.5,-1.0,3.67104
3.0,-1.0,3.67486
3.5,-1.0,3.67612
4.0,-1.0,3.67656
4.5,-1.0,3.67671
5.0,-1.0,3.67677
5.5,-1.0,3.67679
6.0,-1.0,3.6768
6.5,-1.0,3.6768
7.0,-1.0,3.6768
7.5,-1.0,3.6768
8.0,-1.0,3.6768
8.5,-1.0,3.6768
9.0,-1.0,3.6768
9.5,-1.0,3.6768
10.0,-1.0,3.6768
-10.0,-0.5,1.6032
-9.5,-0.5,1.6032
-9.0,-0.5,1.6032
-8.5,-0.5,1.6032
-8.0,-0.5,1.6032
-7.5,-0.5,1.6032
-7.0,-0.5,1.6032
-6.5,-0.5,1.6032
-6.0,-0.5,1.6032
-5.5,-0.5,1.60319
