theta0,theta1,value
-9.5,-8.5,26.79477406580126
-9.0,-8.5,26.79477412909461
-8.5,-8.5,26.794774233427503
-8.0,-8.5,26.794774405388353
-7.5,-8.5,26.794774688754238
-7.0,-8.5,26.79477515553884
-6.5,-8.5,26.79477592403066
-6.0,-8.5,26.794777188052354
-5.5,-8.5,26.794779263893076
-5.0,-8.5,26.79478266412293
-4.5,-8.5,26.79478820957186
-4.0,-8.5,26.79479718737517
-3.5,-8.5,26.794811538617626
-3.0,-8.5,26.794833966361967
-2.5,-8.5,26.794867552309118
-2.0,-8.5,26.794913533681324
-1.5,-8.5,26.79496301085947
-1.0,-8.5,26.794969274225622
-0.5,-8.5,26.794757441846127
0.0,-8.5,26.793726135350127
0.5,-8.5,26.78993159177748
1.0,-8.5,26.780404639480558
1.5,-8.5,26.884185478949597
2.0,-8.5,28.17256406759999
2.5,-8.5,30.61829103129537
3.0,-8.5,33.210939168328025
3.5,-8.5,35.07670937591908
4.0,-8.5,36.28771171229165
4.5,-8.5,37.10262341926749
5.0,-8.5,37.58482036563863
5.5,-8.5,37.87977926332045
6.0,-8.5,38.1323119304586
6.5,-8.5,38.43654212476184
7.0,-8.5,38.85148451506984
7.5,-8.5,39.4095006081254
8.0,-8.5,40.10674616514035
8.5,-8.5,40.891968836924775
9.0,-8.5,41.676882658553936
9.5,-8.5,42.372865825228395
10.0,-8.5,42.927294454241505
-10.0,-8.0,26.79411445004353
-9.5,-8.0,26.79411451334436
-9.0,-8.0,26.794114617697502
-8.5,-8.0,26.794114789713355
-8.0,-8.0,26.794115073228838
-7.5,-8.0,26.794115540420137
-7.0,-8.0,26.794116310017678
-6.5,-8.0,26.794117577046094
-6.0,-8.0,26.794119661064443
-5.5,-8.0,26.79412308354418
-5.0,-8.0,26.7941286895673
-4.5,-8.0,26.794137832444846
-4.0,-8.0,26.794152634279996
-3.5,-8.0,26.794176295315616
-3.0,-8.0,26.79421327197364
-2.5,-8.0,26.79426864465622
-2.0,-8.0,26.794344452024383
-1.5,-8.0,26.794426018526472
-1.0,-8.0,26.79443633054546
-0.5,-8.0,26.794087081497473
0.0,-8.0,26.792387084907205
0.5,-8.0,26.786138450978576
1.0,-8.0,26.77112447428076
1.5,-8.0,26.971211689371962
2.0,-8.0,28.69378950977876
2.5,-8.0,31.444405156391937
3.0,-8.0,33.994519620642464
3.5,-8.0,35.6675810664794
4.0,-8.0,36.74496892379083
4.5,-8.0,37.41262659516389
5.0,-8.0,37.808373724169364
5.5,-8.0,38.1045558100814
6.0,-8.0,38.425797797227666
6.5,-8.0,38.84710768999312
7.0,-8.0,39.40747453797522
7.5,-8.0,40.10558445274424
8.0,-8.0,40.89112469213802
8.5,-8.0,41.676155205677674
9.0,-8.0,42.37218126505369
9.5,-8.0,42.92662566462438
10.0,-8.0,43.33177847803204
-10.0,-7.5,26.793027370819228
-9.5,-7.5,26.793027475184612
-9.0,-7.5,26.793027647233853
-8.5,-7.5,26.79302793084005
-8.0,-7.5,26.79302839827799
-7.5,-7.5,26.793029168546063
-7.0,-7.5,26.7930304373975
-6.5,-7.5,26.793032526373086
-6.0,-7.5,26.793035962335516
-5.5,-7.5,26.793041605042507
-5.0,-7.5,26.793050847789914
-4.5,-7.5,26.7930659217865
-4.0,-7.5,26.79309032572353
-3.5,-7.5,26.79312933573297
-3.0,-7.5,26.793190298736576
-2.5,-7.5,26.79328158964084
-2.0,-7.5,26.79340656643988
-1.5,-7.5,26.79354102628087
-1.0,-7.5,26.793557988448438
-0.5,-7.5,26.792982183646398
0.0,-7.5,26.790180288163004
0.5,-7.5,26.779898503697826
1.0,-7.5,26.756994265623423
1.5,-7.5,27.128664703218885
2.0,-7.5,29.352380134416368
2.5,-7.5,32.347413843124066
3.0,-7.5,34.745362886901916
3.5,-7.5,36.23132732742081
4.0,-7.5,37.14945949831869
4.5,-7.5,37.693665830319105
5.0,-7.5,38.05900147519981
5.5,-7.5,38.408049653467984
6.0,-7.5,38.83987245799414
6.5,-7.5,39.404128505161886
7.0,-7.5,40.10366793148443
7.5,-7.5,40.88973293372624
8.0,-7.5,41.67495612995657
8.5,-7.5,42.37105297578661
9.0,-7.5,42.925523392345454
9.5,-7.5,43.330685771248966
10.0,-7.5,43.60845305727818
-10.0,-7.0,26.791236112409038
-9.5,-7.0,26.791236284478522
-9.0,-7.0,26.791236568139723
-8.5,-7.0,26.79123703572725
-8.0,-7.0,26.791237806401966
-7.5,-7.0,26.791239076358906
-7.0,-7.0,26.791241168340164
-6.5,-7.0,26.791244612475616
-6.0,-7.0,26.791250277411827
-5.5,-7.0,26.7912595806407
-5.0,-7.0,26.791274819294863
-4.5,-7.0,26.79129967195012
-4.0,-7.0,26.791339906796104
-3.5,-7.0,26.791404222223456
-3.0,-7.0,26.791504729965148
-2.5,-7.0,26.791655234481
-2.0,-7.0,26.79186126349883
-1.5,-7.0,26.792082894350422
-1.0,-7.0,26.79211075296383
-0.5,-7.0,26.791161437306904
0.0,-7.0,26.786544406485092
0.5,-7.0,26.769648499334245
1.0,-7.0,26.736756293515327
1.5,-7.0,27.39406487006938
2.0,-7.0,30.16157198010798
2.5,-7.0,33.284627610728876
3.0,-7.0,35.46057873254242
3.5,-7.0,36.75062736256641
4.0,-7.0,37.510909420456876
4.5,-7.0,37.98433683172305
5.0,-7.0,38.37868787852831
5.5,-7.0,38.82789105505797
6.0,-7.0,39.398596511399816
6.5,-7.0,40.10050490098311
7.0,-7.0,40.887438312930016
7.5,-7.0,41.67297997927249
8.0,-7.0,42.36919371815981
8.5,-7.0,42.92370707227026
9.0,-7.0,43.32888523173436
9.5,-7.0,43.60665831959234
10.0,-7.0,43.78886140108598
-10.0,-6.5,26.788285629186227
-9.5,-6.5,26.788285912880824
-9.0,-6.5,26.788286380559065
-8.5,-6.5,26.78828715148039
-8.0,-6.5,26.788288422107776
-7.5,-6.5,26.788290515911683
-7.0,-6.5,26.788293965002687
-6.5,-6.5,26.788299643414
-6.0,-6.5,26.788308983292666
-5.5,-6.5,26.788324321663815
-5.0,-6.5,26.78834944579357
-4.5,-6.5,26.78839042045047
-4.0,-6.5,26.788456755289737
-3.5,-6.5,26.788562790227495
-3.0,-6.5,26.788728490620507
-2.5,-6.5,26.7889766068621
-2.0,-6.5,26.789316229077556
-1.5,-6.5,26.78968148453793
-1.0,-6.5,26.789727124197974
-0.5,-6.5,26.788162038125634
0.0,-6.5,26.780556671444494
0.5,-6.5,26.752853024303114
1.0,-6.5,26.711165572854007
1.5,-6.5,27.81259212468813
2.0,-6.5,31.119205736598218
2.5,-6.5,34.21547951344711
3.0,-6.5,36.13194418385095
3.5,-6.5,37.220314306160994
4.0,-6.5,37.861932672734625
4.5,-6.5,38.329970499923924
5.0,-6.5,38.80799121983648
5.5,-6.5,39.38943382247289
6.0,-6.5,40.09528114465781
6.5,-6.5,40.88365511646147
7.0,-6.5,41.66972400364041
7.5,-6.5,42.36613097264298
8.0,-6.5,42.920715235211446
8.5,-6.5,43.32591943886685
9.0,-6.5,43.60370209828781
9.5,-6.5,43.78590869879133
10.0,-6.5,43.901986397890084
-10.0,-6.0,26.783428708413382
-9.5,-6.0,26.78342917614663
-9.0,-6.0,26.783429947217545
-8.5,-6.0,26.783431218251533
-8.0,-6.0,26.78343331316081
-7.5,-6.0,26.783436765256862
-7.0,-6.0,26.783442451838404
-6.5,-6.0,26.78345181393376
-6.0,-6.0,26.783467212730198
-5.5,-6.0,26.783492501265478
-5.0,-6.0,26.783533923508088
-4.5,-6.0,26.783601478088492
