method_name,seed,tuning_samples,learning_samples,total_samples
discounting_free_natural_exact,124,0,5,5
discounting_free_natural_exact,125,0,5,5
discounting_free_natural_exact,126,0,5,5
discounting_free_natural_exact,127,0,5,5
discounting_free_natural_exact,128,0,5,5
discounting_free_natural_exact,129,0,5,5
discounting_free_natural_exact,130,0,5,5
discounting_free_natural_exact,131,0,5,5
discounting_free_natural_exact,132,0,5,5
discounting_free_natural_exact,133,0,5,5
discounting_free_natural_exact,134,0,5,5
discounting_free_natural_exact,135,0,5,5
discounting_free_natural_exact,136,0,5,5
discounting_free_natural_exact,137,0,5,5
discounting_free_natural_exact,138,0,5,5
discounting_free_natural_exact,139,0,5,5
discounting_free_natural_exact,140,0,5,5
discounting_free_natural_exact,141,0,5,5
discounting_free_natural_sampling,42,0,656,656
discounting_free_natural_sampling,43,0,608,608
discounting_free_natural_sampling,44,0,624,624
discounting_free_natural_sampling,45,0,640,640
discounting_free_natural_sampling,46,0,640,640
discounting_free_natural_sampling,47,0,640,640
discounting_free_natural_sampling,48,0,608,608
discounting_free_natural_sampling,49,0,704,704
discounting_free_natural_sampling,50,0,640,640
discounting_free_natural_sampling,51,0,768,768
discounting_free_natural_sampling,52,0,624,624
discounting_free_natural_sampling,53,0,656,656
discounting_free_natural_sampling,54,0,640,640
discounting_free_natural_sampling,55,0,720,720
discounting_free_natural_sampling,56,0,640,640
discounting_free_natural_sampling,57,0,640,640
discounting_free_natural_sampling,58,0,608,608
discounting_free_natural_sampling,59,0,816,816
discounting_free_natural_sampling,60,0,720,720
discounting_free_natural_sampling,61,0,752,752
discounting_free_natural_sampling,62,0,608,608
discounting_free_natural_sampling,63,0,608,608
discounting_free_natural_sampling,64,0,720,720
discounting_free_natural_sampling,65,0,608,608
discounting_free_natural_sampling,66,0,720,720
discounting_free_natural_sampling,67,0,752,752
discounting_free_natural_sampling,68,0,608,608
discounting_free_natural_sampling,69,0,608,608
discounting_free_natural_sampling,70,0,608,608
discounting_free_natural_sampling,71,0,752,752
discounting_free_natural_sampling,72,0,608,608
discounting_free_natural_sampling,73,0,816,816
discounting_free_natural_sampling,74,0,624,624
discounting_free_natural_sampling,75,0,624,624
discounting_free_natural_sampling,76,0,768,768
discounting_free_natural_sampling,77,0,608,608
discounting_free_natural_sampling,78,0,704,704
discounting_free_natural_sampling,79,0,608,608
discounting_free_natural_sampling,80,0,656,656
discounting_free_natural_sampling,81,0,608,608
discounting_free_natural_sampling,82,0,640,640
discounting_free_natural_sampling,83,0,608,608
discounting_free_natural_sampling,84,0,720,720
discounting_free_natural_sampling,85,0,608,608
discounting_free_natural_sampling,86,0,608,608
discounting_free_natural_sampling,87,0,608,608
discounting_free_natural_sampling,88,0,640,640
discounting_free_natural_sampling,89,0,608,608
discounting_free_natural_sampling,90,0,720,720
discounting_free_natural_sampling,91,0,608,608
discounting_free_natural_sampling,92,0,624,624
discounting_free_natural_sampling,93,0,624,624
discounting_free_natural_sampling,94,0,608,608
discounting_free_natural_sampling,95,0,608,608
discounting_free_natural_sampling,96,0,608,608
discounting_free_natural_sampling,97,0,640,640
discounting_free_natural_sampling,98,0,752,752
discounting_free_natural_sampling,99,0,768,768
discounting_free_natural_sampling,100,0,608,608
discounting_free_natural_sampling,101,0,608,608
discounting_free_natural_sampling,102,0,608,608
discounting_free_natural_sampling,103,0,720,720
discounting_free_natural_sampling,104,0,624,624
discounting_free_natural_sampling,105,0,752,752
discounting_free_natural_sampling,106,0,720,720
discounting_free_natural_sampling,107,0,624,624
discounting_free_natural_sampling,108,0,608,608
discounting_free_natural_sampling,109,0,768,768
discounting_free_natural_sampling,110,0,704,704
discounting_free_natural_sampling,111,0,656,656
discounting_free_natural_sampling,112,0,752,752
discounting_free_natural_sampling,113,0,752,752
discounting_free_natural_sampling,114,0,752,752
discounting_free_natural_sampling,115,0,768,768
discounting_free_natural_sampling,116,0,624,624
discounting_free_natural_sampling,117,0,608,608
discounting_free_natural_sampling,118,0,640,640
discounting_free_natural_sampling,119,0,640,640
discounting_free_natural_sampling,120,0,640,640
discounting_free_natural_sampling,121,0,624,624
discounting_free_natural_sampling,122,0,624,624
discounting_free_natural_sampling,123,0,752,752
discounting_free_natural_sampling,124,0,640,640
discounting_free_natural_sampling,125,0,752,752
discounting_free_natural_sampling,126,0,720,720
discounting_free_natural_sampling,127,0,640,640
discounting_free_natural_sampling,128,0,624,624
discounting_free_natural_sampling,129,0,656,656
discounting_free_natural_sampling,130,0,608,608
discounting_free_natural_sampling,131,0,768,768
discounting_free_natural_sampling,132,0,656,656
discounting_free_natural_sampling,133,0,624,624
discounting_free_natural_sampling,134,0,608,608
discounting_free_natural_sampling,135,0,608,608
discounting_free_natural_sampling,136,0,624,624
discounting_free_natural_sampling,137,0,624,624
discounting_free_natural_sampling,138,0,752,752
discounting_free_natural_sampling,139,0,640,640
discounting_free_natural_sampling,140,0,608,608
discounting_free_natural_sampling,141,0,608,608
discounted_vanilla_exact,42,160,2,162
discounted_vanilla_exact,43,160,2,162
discounted_vanilla_exact,44,160,2,162
discounted_vanilla_exact,45,160,2,162
discounted_vanilla_exact,46,160,2,162
discounted_vanilla_exact,47,160,2,162
discounted_vanilla_exact,48,160,2,162
discounted_vanilla_exact,49,160,2,162
