method_name,seed,tuning_samples,learning_samples,total_samples
discounting_free_vanilla_sampling,120,0,5600,5600
discounting_free_vanilla_sampling,121,0,5888,5888
discounting_free_vanilla_sampling,122,0,5840,5840
discounting_free_vanilla_sampling,123,0,7376,7376
discounting_free_vanilla_sampling,124,0,6624,6624
discounting_free_vanilla_sampling,125,0,5456,5456
discounting_free_vanilla_sampling,126,0,6192,6192
discounting_free_vanilla_sampling,127,0,4736,4736
discounting_free_vanilla_sampling,128,0,5456,5456
discounting_free_vanilla_sampling,129,0,9648,9648
discounting_free_vanilla_sampling,130,0,5776,5776
discounting_free_vanilla_sampling,131,0,5936,5936
discounting_free_vanilla_sampling,132,0,7344,7344
discounting_free_vanilla_sampling,133,0,7376,7376
discounting_free_vanilla_sampling,134,0,7008,7008
discounting_free_vanilla_sampling,135,0,6256,6256
discounting_free_vanilla_sampling,136,0,6944,6944
discounting_free_vanilla_sampling,137,0,7712,7712
discounting_free_vanilla_sampling,138,0,7632,7632
discounting_free_vanilla_sampling,139,0,6576,6576
discounting_free_vanilla_sampling,140,0,6944,6944
discounting_free_vanilla_sampling,141,0,7712,7712
discounting_free_natural_exact,42,0,9,9
discounting_free_natural_exact,43,0,9,9
discounting_free_natural_exact,44,0,9,9
discounting_free_natural_exact,45,0,9,9
discounting_free_natural_exact,46,0,9,9
discounting_free_natural_exact,47,0,9,9
discounting_free_natural_exact,48,0,9,9
discounting_free_natural_exact,49,0,9,9
discounting_free_natural_exact,50,0,9,9
discounting_free_natural_exact,51,0,9,9
discounting_free_natural_exact,52,0,9,9
discounting_free_natural_exact,53,0,9,9
discounting_free_natural_exact,54,0,9,9
discounting_free_natural_exact,55,0,9,9
discounting_free_natural_exact,56,0,9,9
discounting_free_natural_exact,57,0,9,9
discounting_free_natural_exact,58,0,9,9
discounting_free_natural_exact,59,0,9,9
discounting_free_natural_exact,60,0,9,9
discounting_free_natural_exact,61,0,9,9
discounting_free_natural_exact,62,0,9,9
discounting_free_natural_exact,63,0,9,9
discounting_free_natural_exact,64,0,9,9
discounting_free_natural_exact,65,0,9,9
discounting_free_natural_exact,66,0,9,9
discounting_free_natural_exact,67,0,9,9
discounting_free_natural_exact,68,0,9,9
discounting_free_natural_exact,69,0,9,9
discounting_free_natural_exact,70,0,9,9
discounting_free_natural_exact,71,0,9,9
discounting_free_natural_exact,72,0,9,9
discounting_free_natural_exact,73,0,9,9
discounting_free_natural_exact,74,0,9,9
discounting_free_natural_exact,75,0,9,9
discounting_free_natural_exact,76,0,9,9
discounting_free_natural_exact,77,0,9,9
discounting_free_natural_exact,78,0,9,9
discounting_free_natural_exact,79,0,9,9
discounting_free_natural_exact,80,0,9,9
discounting_free_natural_exact,81,0,9,9
discounting_free_natural_exact,82,0,9,9
discounting_free_natural_exact,83,0,9,9
discounting_free_natural_exact,84,0,9,9
discounting_free_natural_exact,85,0,9,9
discounting_free_natural_exact,86,0,9,9
discounting_free_natural_exact,87,0,9,9
discounting_free_natural_exact,88,0,9,9
discounting_free_natural_exact,89,0,9,9
discounting_free_natural_exact,90,0,9,9
discounting_free_natural_exact,91,0,9,9
discounting_free_natural_exact,92,0,9,9
discounting_free_natural_exact,93,0,9,9
discounting_free_natural_exact,94,0,9,9
discounting_free_natural_exact,95,0,9,9
discounting_free_natural_exact,96,0,9,9
discounting_free_natural_exact,97,0,9,9
discounting_free_natural_exact,98,0,9,9
discounting_free_natural_exact,99,0,9,9
discounting_free_natural_exact,100,0,9,9
discounting_free_natural_exact,101,0,9,9
discounting_free_natural_exact,102,0,9,9
discounting_free_natural_exact,103,0,9,9
discounting_free_natural_exact,104,0,9,9
discounting_free_natural_exact,105,0,9,9
discounting_free_natural_exact,106,0,9,9
discounting_free_natural_exact,107,0,9,9
discounting_free_natural_exact,108,0,9,9
discounting_free_natural_exact,109,0,9,9
discounting_free_natural_exact,110,0,9,9
discounting_free_natural_exact,111,0,9,9
discounting_free_natural_exact,112,0,9,9
discounting_free_natural_exact,113,0,9,9
discounting_free_natural_exact,114,0,9,9
discounting_free_natural_exact,115,0,9,9
discounting_free_natural_exact,116,0,9,9
discounting_free_natural_exact,117,0,9,9
discounting_free_natural_exact,118,0,9,9
discounting_free_natural_exact,119,0,9,9
