theta0,theta1,value
-2.5,-9.5,-4.893052761858547
-2.0,-9.5,-4.893052761858547
-1.5,-9.5,-4.893052761858547
-1.0,-9.5,-4.893052761858547
-0.5,-9.5,-4.893052761858547
0.0,-9.5,-4.893052761858547
0.5,-9.5,-4.893052761858547
1.0,-9.5,-4.893052761858547
1.5,-9.5,-4.893052761858547
2.0,-9.5,-4.893052761858547
2.5,-9.5,-4.893052761858547
3.0,-9.5,-4.893052761858547
3.5,-9.5,-4.893052761858547
4.0,-9.5,-4.893052761858547
4.5,-9.5,-4.893052761858547
5.0,-9.5,-4.893052761858547
5.5,-9.5,-4.893052761858547
6.0,-9.5,-4.893052761858547
6.5,-9.5,-4.893052761858547
7.0,-9.5,-4.893052761858547
7.5,-9.5,-4.893052761858547
8.0,-9.5,-4.893052761858547
8.5,-9.5,-4.893052761858547
9.0,-9.5,-4.893052761858547
9.5,-9.5,-4.893052761858547
10.0,-9.5,-4.893052761858547
-10.0,-9.0,-4.893045287772624
-9.5,-9.0,-4.893045287772624
-9.0,-9.0,-4.893045287772624
-8.5,-9.0,-4.893045287772624
-8.0,-9.0,-4.893045287772624
-7.5,-9.0,-4.893045287772624
-7.0,-9.0,-4.893045287772624
-6.5,-9.0,-4.893045287772624
-6.0,-9.0,-4.893045287772624
-5.5,-9.0,-4.893045287772624
-5.0,-9.0,-4.893045287772624
-4.5,-9.0,-4.893045287772624
-4.0,-9.0,-4.893045287772624
-3.5,-9.0,-4.893045287772624
-3.0,-9.0,-4.893045287772624
-2.5,-9.0,-4.893045287772624
-2.0,-9.0,-4.893045287772624
-1.5,-9.0,-4.893045287772624
-1.0,-9.0,-4.893045287772624
-0.5,-9.0,-4.893045287772624
0.0,-9.0,-4.893045287772624
0.5,-9.0,-4.893045287772624
1.0,-9.0,-4.893045287772624
1.5,-9.0,-4.893045287772624
2.0,-9.0,-4.893045287772624
2.5,-9.0,-4.893045287772624
3.0,-9.0,-4.893045287772624
3.5,-9.0,-4.893045287772624
4.0,-9.0,-4.893045287772624
4.5,-9.0,-4.893045287772624
5.0,-9.0,-4.893045287772624
5.5,-9.0,-4.893045287772624
6.0,-9.0,-4.893045287772624
6.5,-9.0,-4.893045287772624
7.0,-9.0,-4.893045287772624
7.5,-9.0,-4.893045287772624
8.0,-9.0,-4.893045287772624
8.5,-9.0,-4.893045287772624
9.0,-9.0,-4.893045287772624
9.5,-9.0,-4.893045287772624
10.0,-9.0,-4.893045287772624
-10.0,-8.5,-4.893032965930404
-9.5,-8.5,-4.893032965930404
-9.0,-8.5,-4.893032965930404
-8.5,-8.5,-4.893032965930404
-8.0,-8.5,-4.893032965930404
-7.5,-8.5,-4.893032965930404
-7.0,-8.5,-4.893032965930404
-6.5,-8.5,-4.893032965930404
-6.0,-8.5,-4.893032965930404
-5.5,-8.5,-4.893032965930404
-5.0,-8.5,-4.893032965930404
-4.5,-8.5,-4.893032965930404
-4.0,-8.5,-4.893032965930404
-3.5,-8.5,-4.893032965930404
-3.0,-8.5,-4.893032965930404
-2.5,-8.5,-4.893032965930404
-2.0,-8.5,-4.893032965930404
-1.5,-8.5,-4.893032965930404
-1.0,-8.5,-4.893032965930404
-0.5,-8.5,-4.893032965930404
0.0,-8.5,-4.893032965930404
0.5,-8.5,-4.893032965930404
1.0,-8.5,-4.893032965930404
1.5,-8.5,-4.893032965930404
2.0,-8.5,-4.893032965930404
2.5,-8.5,-4.893032965930404
3.0,-8.5,-4.893032965930404
3.5,-8.5,-4.893032965930404
4.0,-8.5,-4.893032965930404
4.5,-8.5,-4.893032965930404
5.0,-8.5,-4.893032965930404
5.5,-8.5,-4.893032965930404
6.0,-8.5,-4.893032965930404
6.5,-8.5,-4.893032965930404
7.0,-8.5,-4.893032965930404
7.5,-8.5,-4.893032965930404
8.0,-8.5,-4.893032965930404
8.5,-8.5,-4.893032965930404
9.0,-8.5,-4.893032965930404
9.5,-8.5,-4.893032965930404
10.0,-8.5,-4.893032965930404
-10.0,-8.0,-4.8930126529361155
-9.5,-8.0,-4.8930126529361155
-9.0,-8.0,-4.8930126529361155
-8.5,-8.0,-4.8930126529361155
-8.0,-8.0,-4.8930126529361155
-7.5,-8.0,-4.8930126529361155
-7.0,-8.0,-4.8930126529361155
-6.5,-8.0,-4.8930126529361155
-6.0,-8.0,-4.8930126529361155
-5.5,-8.0,-4.8930126529361155
-5.0,-8.0,-4.8930126529361155
-4.5,-8.0,-4.8930126529361155
-4.0,-8.0,-4.8930126529361155
-3.5,-8.0,-4.8930126529361155
-3.0,-8.0,-4.8930126529361155
-2.5,-8.0,-4.8930126529361155
-2.0,-8.0,-4.8930126529361155
-1.5,-8.0,-4.8930126529361155
-1.0,-8.0,-4.8930126529361155
-0.5,-8.0,-4.8930126529361155
0.0,-8.0,-4.8930126529361155
0.5,-8.0,-4.8930126529361155
1.0,-8.0,-4.8930126529361155
1.5,-8.0,-4.8930126529361155
2.0,-8.0,-4.8930126529361155
2.5,-8.0,-4.8930126529361155
3.0,-8.0,-4.8930126529361155
3.5,-8.0,-4.8930126529361155
4.0,-8.0,-4.8930126529361155
4.5,-8.0,-4.8930126529361155
5.0,-8.0,-4.8930126529361155
5.5,-8.0,-4.8930126529361155
6.0,-8.0,-4.8930126529361155
6.5,-8.0,-4.8930126529361155
7.0,-8.0,-4.8930126529361155
7.5,-8.0,-4.8930126529361155
8.0,-8.0,-4.8930126529361155
8.5,-8.0,-4.8930126529361155
9.0,-8.0,-4.8930126529361155
