seed,method_name,gamma_used,iteration,metric_value,env_name,experiment_type
43,discounting_free_vanilla_exact,avg,71,29.69177014973341,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,72,29.69200430973334,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,73,29.69223259168927,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,74,29.692455217514702,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,75,29.692672397940076,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,76,29.692884333217332,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,77,29.693091213771172,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,78,29.693293220801895,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,79,29.69349052684382,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,80,29.693683296283236,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,81,29.693871685839163,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,82,29.694055845010247,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,83,29.694235916490264,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,84,29.694412036555143,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,85,29.694584335423478,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,86,29.694752937592796,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,87,29.694917962153554,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,88,29.6950795230823,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,89,29.695237729516016,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,90,29.695392686008606,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,91,29.695544492771283,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,92,29.69569324589766,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,93,29.695839037575123,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,94,29.69598195628288,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,95,29.69612208697834,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,96,29.696259511271926,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,97,29.696394307591753,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,98,29.696526551338494,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,99,29.69665631503119,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,100,29.696783668444716,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,101,29.696908678739394,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,102,29.697031410583207,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,103,29.697151926267207,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,104,29.697270285814582,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,105,29.69738654708364,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,106,29.697500765865236,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,107,29.697612995974946,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,108,29.697723289340317,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,109,29.697831696083554,env-b2,discounting_free
43,discounting_free_vanilla_exact,avg,110,29.697938264599706,env-b2,discounting_free
