theta0,theta1,gain
-3.0,-5.0,3.99866
-2.5,-5.0,3.99779
-2.0,-5.0,3.99635
-1.5,-5.0,3.99399
-1.0,-5.0,3.99011
-0.5,-5.0,3.98373
0.0,-5.0,3.97327
0.5,-5.0,3.95622
1.0,-5.0,3.92858
1.5,-5.0,3.88425
2.0,-5.0,3.81438
2.5,-5.0,3.70717
3.0,-5.0,3.54926
3.5,-5.0,3.33017
4.0,-5.0,3.05016
4.5,-5.0,2.72752
5.0,-5.0,2.39732
5.5,-5.0,2.09797
6.0,-5.0,1.85495
6.5,-5.0,1.67476
7.0,-5.0,1.54993
7.5,-5.0,1.46746
8.0,-5.0,1.41468
8.5,-5.0,1.38158
9.0,-5.0,1.36109
9.5,-5.0,1.34851
10.0,-5.0,1.34082
-10.0,-4.5,4.0
-9.5,-4.5,4.0
-9.0,-4.5,3.99999
-8.5,-4.5,3.99999
-8.0,-4.5,3.99999
-7.5,-4.5,3.99998
-7.0,-4.5,3.99996
-6.5,-4.5,3.99993
-6.0,-4.5,3.99989
-5.5,-4.5,3.99982
-5.0,-4.5,3.9997
-4.5,-4.5,3.99951
-4.0,-4.5,3.99918
-3.5,-4.5,3.99866
-3.0,-4.5,3.99778
-2.5,-4.5,3.99635
-2.0,-4.5,3.99398
-1.5,-4.5,3.99009
-1.0,-4.5,3.98371
-0.5,-4.5,3.97324
0.0,-4.5,3.95617
0.5,-4.5,3.9285
1.0,-4.5,3.88413
1.5,-4.5,3.81418
2.0,-4.5,3.70685
2.5,-4.5,3.54877
3.0,-4.5,3.32946
3.5,-4.5,3.04914
4.0,-4.5,2.72615
4.5,-4.5,2.39561
5.0,-4.5,2.09593
5.5,-4.5,1.85265
6.0,-4.5,1.67227
6.5,-4.5,1.5473
7.0,-4.5,1.46475
7.5,-4.5,1.41191
8.0,-4.5,1.37878
8.5,-4.5,1.35827
9.0,-4.5,1.34567
9.5,-4.5,1.33797
10.0,-4.5,1.33327
-10.0,-4.0,4.0
-9.5,-4.0,3.99999
-9.0,-4.0,3.99999
-8.5,-4.0,3.99999
-8.0,-4.0,3.99998
-7.5,-4.0,3.99996
-7.0,-4.0,3.99993
-6.5,-4.0,3.99989
-6.0,-4.0,3.99982
-5.5,-4.0,3.9997
-5.0,-4.0,3.9995
-4.5,-4.0,3.99918
-4.0,-4.0,3.99865
-3.5,-4.0,3.99778
-3.0,-4.0,3.99634
-2.5,-4.0,3.99397
-2.0,-4.0,3.99008
-1.5,-4.0,3.98368
-1.0,-4.0,3.9732
-0.5,-4.0,3.9561
0.0,-4.0,3.92838
0.5,-4.0,3.88393
1.0,-4.0,3.81386
1.5,-4.0,3.70634
2.0,-4.0,3.54799
2.5,-4.0,3.32829
3.0,-4.0,3.04748
3.5,-4.0,2.72393
4.0,-4.0,2.39281
4.5,-4.0,2.0926
5.0,-4.0,1.8489
5.5,-4.0,1.66821
6.0,-4.0,1.54302
6.5,-4.0,1.46032
7.0,-4.0,1.40739
7.5,-4.0,1.3742
8.0,-4.0,1.35366
8.5,-4.0,1.34103
9.0,-4.0,1.33332
9.5,-4.0,1.32862
10.0,-4.0,1.32576
-10.0,-3.5,3.99999
