iteration,theta0,theta1,gain_plus_bias
64,-3.0441207979547547,-3.2202366400907594,2.9241918874173436
65,-3.051761951076467,-3.2279478796516434,2.9247436742081785
66,-3.059286813893377,-3.2355412743639573,2.9252833335501793
67,-3.0666988836361297,-3.2430203785518503,2.9258113070120637
68,-3.07400150186013,-3.2503885879576195,2.92632801386765
69,-3.081197863559719,-3.2576491490439943,2.9268338525272504
70,-3.08829102562447,-3.264805167623835,2.927329201858084
71,-3.095989281540955,-3.3433983453593394,2.932622000132986
72,-3.103048606200782,-3.4163596795472504,2.9372018933296995
73,-3.109563034743922,-3.484433823533833,2.9412029710688996
74,-3.115607589466399,-3.548227982432249,2.944727839524575
75,-3.1212430349192597,-3.6082435867006146,2.9478563126560795
76,-3.1265192431341324,-3.6648993821712796,2.9506513847286975
77,-3.131477627324763,-3.7185485730340613,2.9531634241847287
78,-3.136152935880649,-3.7694917589035484,2.955433175917159
79,-3.1405745974766557,-3.8179868420266136,2.9574939480731612
80,-3.1447677450819915,-3.864256715288753,2.959373229993107
81,-3.1487540062754125,-3.9084953001544718,2.961093906371615
82,-3.152552120809247,-3.950872340823509,2.962675180262791
83,-3.1561784286544614,-3.991537249068756,2.964133283094186
84,-3.159647259681225,-4.030622216166565,2.9654820268000655
85,-3.1629712477502796,-4.068244753008559,2.9667332374957702
86,-3.166161586085205,-4.1045097797232035,2.967897099270718
87,-3.169228236573618,-4.139511357187387,2.968982429072732
88,-3.172180102586326,-4.173334131479419,2.969996898252039
89,-3.1750251726597836,-4.206054546434684,2.9709472124446195
90,-3.1777706407227044,-4.23774186750405,2.971839258644273
91,-3.18042300729978,-4.268459051024523,2.97267822623041
92,-3.182988165180591,-4.298263486040213,2.9734687071711616
93,-3.185471472319787,-4.327207630420064,2.9742147794605103
94,-3.1878778141781425,-4.355339558816013,2.9749200769695987
95,-3.190211657281687,-4.382703436704466,2.9755878482219122
96,-3.192477095437602,-4.409339932143556,2.976221006086368
97,-3.194677889778629,-4.435286574800332,2.976822169982718
98,-3.1968175035958226,-4.460578070137039,2.977393701881966
99,-3.1988991327501726,-4.485246575303829,2.977937737139578
100,-3.2009257323175375,-4.509321942197759,2.978456211005713
101,-3.2029000400113175,-4.5328319322619,2.978950881502757
102,-3.2048245968378835,-4.555802406872728,2.9794233492374835
103,-3.20670176536673,-4.578257496566912,2.979875074616087
104,-3.208533745937344,-4.600219751864955,2.9803073928504853
105,-3.210322591075316,-4.62171027803931,2.980721527079304
106,-3.212070218349225,-4.642748855832809,2.9811185998739833
107,-3.2137784218657384,-4.663354049847169,2.981499643357076
