theta0,theta1,value
-7.5,-8.5,24.850457258289183
-7.0,-8.5,24.850457720242566
-6.5,-8.5,24.850458480901178
-6.0,-8.5,24.85045973236737
-5.5,-8.5,24.850461788484715
-5.0,-8.5,24.850465158855176
-4.5,-8.5,24.85047066231388
-4.0,-8.5,24.850479590619493
-3.5,-8.5,24.850493914132375
-3.0,-8.5,24.850516443697046
-2.5,-8.5,24.850550603470513
-2.0,-8.5,24.85059865675828
-1.5,-8.5,24.850654713054077
-1.0,-8.5,24.850680899422706
-0.5,-8.5,24.850528806490516
0.0,-8.5,24.849678754589267
0.5,-8.5,24.846431197899776
1.0,-8.5,24.837997986690198
1.5,-8.5,24.921635341440545
2.0,-8.5,25.963790701189744
2.5,-8.5,27.93983033844349
3.0,-8.5,30.037136704885448
3.5,-8.5,31.53989895527397
4.0,-8.5,32.50233660747991
4.5,-8.5,33.14945265610519
5.0,-8.5,33.54132148871439
5.5,-8.5,33.79590576440059
6.0,-8.5,34.03110195472487
6.5,-8.5,34.326584983006654
7.0,-8.5,34.73508425972173
7.5,-8.5,35.28643517902466
8.0,-8.5,35.97601824396808
8.5,-8.5,36.75282233518491
9.0,-8.5,37.52938547007938
9.5,-8.5,38.21798358971764
10.0,-8.5,38.766535129850055
-10.0,-8.0,24.84979702611143
-9.5,-8.0,24.84979708874308
-9.0,-8.0,24.849797191994398
-8.5,-8.0,24.849797362197673
-8.0,-8.0,24.849797642735513
-7.5,-8.0,24.849798105047
-7.0,-8.0,24.849798866679205
-6.5,-8.0,24.849800120792843
-6.0,-8.0,24.849802184110647
-5.5,-8.0,24.849805574072096
-5.0,-8.0,24.849811130865515
-4.5,-8.0,24.84982020451309
-4.0,-8.0,24.849834924740932
-3.5,-8.0,24.84985854005991
-3.0,-8.0,24.84989568459556
-2.5,-8.0,24.849952003367452
-2.0,-8.0,24.85003122675876
-1.5,-8.0,24.8501236403202
-1.0,-8.0,24.85016679887602
-0.5,-8.0,24.849916035649922
0.0,-8.0,24.84851481340771
0.5,-8.0,24.843166832285775
1.0,-8.0,24.829841096632784
1.5,-8.0,24.991119827925147
2.0,-8.0,26.382048631819313
2.5,-8.0,28.6043227706481
